emission 2011 (tons);lat;lon
0.220031;42.8;-0.1
0.441995;42.9;-0.1
2.18185;43.0;-0.1
1.6087;43.1;-0.1
0.115919;43.2;-0.1
0.183753;43.6;-0.1
0.256524;43.7;-0.1
0.136741;44.3;-0.1
0.841271;44.5;-0.1
0.118495;44.6;-0.1
0.778589;44.8;-0.1
1.15661;45.0;-0.1
0.191481;45.1;-0.1
0.340458;45.5;-0.1
0.10905;46.0;-0.1
0.177098;46.1;-0.1
0.146831;46.2;-0.1
0.288939;47.1;-0.1
5.0092;47.2;-0.1
0.381459;47.3;-0.1
0.24944;47.5;-0.1
1.55782;47.6;-0.1
1.09844;47.7;-0.1
0.75197;47.8;-0.1
0.108406;47.9;-0.1
0.271766;48.1;-0.1
0.145113;48.3;-0.1
0.109479;48.4;-0.1
2.5543;48.7;-0.1
1.50394;49.0;-0.1
0.593119;49.2;-0.1
0.343678;49.3;-0.1
0.0822166;42.9;-0.2
0.251587;43.0;-0.2
0.485786;43.1;-0.2
0.301389;43.2;-0.2
0.429115;44.5;-0.2
0.169156;44.7;-0.2
0.428471;44.8;-0.2
0.104327;44.9;-0.2
1.42258;45.0;-0.2
0.526143;45.4;-0.2
0.721703;45.6;-0.2
0.130945;45.7;-0.2
0.814223;46.2;-0.2
0.261462;46.3;-0.2
0.504891;46.4;-0.2
0.341317;46.8;-0.2
0.500813;46.9;-0.2
0.0708394;47.0;-0.2
0.402926;47.1;-0.2
0.639701;47.2;-0.2
0.453801;47.3;-0.2
0.0747033;47.4;-0.2
0.400135;47.5;-0.2
0.122574;47.6;-0.2
0.219387;47.7;-0.2
0.26597;47.9;-0.2
0.426109;48.1;-0.2
0.234843;48.7;-0.2
0.762704;48.8;-0.2
0.0770646;49.0;-0.2
1.63682;49.1;-0.2
2.2235;49.2;-0.2
2.01935;43.1;-0.3
1.66687;43.2;-0.3
0.41602;43.3;-0.3
0.107332;43.5;-0.3
0.150695;43.6;-0.3
0.655801;43.7;-0.3
0.833972;44.4;-0.3
3.49925;44.5;-0.3
0.237848;44.7;-0.3
2.01012;44.8;-0.3
5.19016;44.9;-0.3
0.0764206;45.6;-0.3
0.124506;46.1;-0.3
0.721917;46.2;-0.3
0.505965;46.3;-0.3
1.39961;46.4;-0.3
3.04953;46.6;-0.3
2.12497;46.9;-0.3
0.24622;47.0;-0.3
1.16198;47.1;-0.3
0.405072;47.3;-0.3
1.13987;47.4;-0.3
0.491582;47.6;-0.3
0.443712;47.7;-0.3
0.241927;47.8;-0.3
0.162716;47.9;-0.3
0.429544;48.3;-0.3
0.108406;48.4;-0.3
0.121715;48.6;-0.3
0.165936;48.7;-0.3
0.702598;48.8;-0.3
0.648287;48.9;-0.3
0.285289;49.0;-0.3
