lat;lon;emission 2011 (tons)
66.5;-18.1;2.51147e+0
66.4;-16.0;4.01022e-1
66.1;-23.3;2.54998e-1
66.1;-19.0;4.36620e-1
66.0;-23.2;1.92011e+0
66.0;-17.4;1.04324e+0
65.9;-18.6;3.79227e-1
65.9;-18.4;9.63325e-1
65.8;24.1;4.11002e+1
65.7;-19.7;2.07049e+0
65.7;-18.2;2.27028e+0
65.7;-14.9;3.76322e-1
65.6;-18.2;6.46939e+0
65.6;-18.1;1.77336e+0
65.6;22.1;3.30274e+0
65.5;-18.2;4.43159e-1
65.5;-18.1;2.95681e-1
65.5;22.2;3.44614e+3
65.4;-21.0;4.03928e-1
65.2;-14.5;1.05050e+0
65.2;-14.4;1.14713e+0
65.2;-14.1;4.43885e-1
65.1;-13.8;6.23328e-1
65.1;-13.7;9.18283e-1
65.0;-22.8;3.64698e-1
65.0;-14.3;8.65249e-1
64.9;-23.7;1.30768e-1
64.9;-23.3;5.53585e-1
64.6;24.4;5.47032e+4
64.5;-22.0;1.51691e+0
64.5;-21.9;4.45338e-1
64.3;-22.1;4.80427e+0
64.2;-20.8;3.93757e-1
64.1;-22.1;2.61609e+0
64.1;-22.0;2.10682e+1
64.1;-21.9;6.04693e+1
64.1;-21.8;2.13690e+1
64.1;-21.7;3.13916e+0
64.1;-20.4;5.81918e-1
64.0;-22.8;7.77344e-1
64.0;-22.7;1.26046e+0
64.0;-22.6;5.28594e+0
64.0;-22.1;6.08798e-1
64.0;-22.0;2.64384e+1
64.0;-21.9;6.39165e+0
64.0;-21.3;3.68330e-1
64.0;-21.2;9.29906e-1
63.9;-22.6;4.32770e+0
63.9;-22.4;9.69137e-1
63.9;-21.1;2.14750e+0
63.9;-21.0;2.73233e+0
63.8;-22.5;1.87725e+0
63.8;-21.4;1.38251e+0
63.8;-20.4;8.96488e-1
63.7;-20.3;1.25392e+0
63.4;-20.3;1.96733e+0
61.2;28.7;3.75774e+1
60.5;16.0;5.40683e+0
60.1;15.4;8.11024e+0
60.1;16.1;6.08268e+0
60.0;6.5;8.37566e+2
59.9;23.1;2.28520e+4
59.9;30.2;3.01030e+2
59.8;10.9;7.82234e+2
59.7;14.5;4.05512e+0
59.2;14.3;4.05512e+0
59.1;37.9;2.63381e+5
58.6;17.1;8.28386e+4
57.9;59.9;1.62912e+5
57.8;24.3;4.72690e+0
57.8;24.7;1.00921e+1
57.8;25.0;1.21795e+1
57.8;25.3;2.66363e+1
57.8;25.4;5.64986e+0
57.7;22.5;3.89883e+0
57.7;24.3;2.98796e+1
57.7;24.8;1.14981e+1
57.7;25.9;1.61388e+1
57.7;26.0;6.68150e+1
57.6;25.6;3.29503e+0
57.6;25.7;1.03336e+1
57.5;22.3;1.00231e+1
57.5;22.7;4.68378e+0
57.5;22.8;1.01870e+1
57.5;24.6;2.67398e+0
57.5;24.7;9.80574e+1
57.5;25.3;5.91726e+1
57.5;25.4;1.86040e+2
57.5;26.6;4.54576e+0
57.4;21.5;7.54321e+1
57.4;21.6;1.50950e+1
57.4;22.8;3.70044e+0
57.4;25.1;5.04606e+0
57.4;25.8;2.75679e+1
57.4;25.9;2.04430e+1
57.4;26.4;6.81433e+0
57.4;27.0;9.36238e+1
57.3;21.5;1.78596e+2
57.3;21.6;2.96984e+1
57.3;22.5;5.69299e+0
57.3;23.1;1.07477e+1
57.3;24.4;4.07135e+0
57.3;25.0;4.87354e+0
57.3;25.2;1.12713e+2
57.3;25.3;4.52075e+1
57.3;25.4;2.52820e+1
57.3;25.5;9.79884e+0
57.3;25.6;9.84197e+0
57.2;22.5;1.08348e+2
57.2;22.6;1.92095e+1
57.2;22.7;6.65907e+0
57.2;24.4;1.04026e+1
57.2;25.1;4.70965e+0
57.2;25.2;7.50439e+0
57.2;26.5;4.61477e+0
57.2;27.4;1.50692e+1
57.2;27.6;5.95176e+0
57.1;22.5;1.50519e+1
