lat;lon;emission 2011 (tons)
67.0;32.3;8.38937e+3
65.4;13.0;1.53658e+4
64.0;-22.1;9.37024e+4
63.5;34.1;9.78760e+3
62.3;8.3;2.38488e+4
62.2;17.1;1.34871e+4
61.1;6.0;3.14301e+4
61.1;7.3;2.40077e+4
59.5;5.4;1.46247e+4
59.5;30.2;3.28586e+3
59.4;60.1;2.26513e+4
59.2;5.3;2.59074e+4
58.1;6.5;9.74418e+3
56.4;-5.1;4.12258e+3
56.4;-4.6;1.15260e+3
56.2;61.4;1.49611e+4
56.1;101.5;1.35509e+5
56.0;92.4;1.11662e+5
55.1;-1.6;6.69919e+3
55.0;8.4;5.83986e-2
54.9;8.2;1.43839e-1
54.9;8.3;4.54052e-1
54.8;8.2;1.89196e-1
54.8;8.3;3.26035e-1
54.8;8.8;1.55730e-1
54.8;9.3;2.22855e-1
54.8;9.4;1.44117e+0
54.8;9.5;4.21448e-1
54.8;9.6;6.93304e-2
54.7;8.8;9.49050e-1
54.7;8.9;5.80247e-1
54.7;9.0;7.24949e-2
54.7;9.1;1.31181e-1
54.7;9.2;5.31245e-2
54.7;9.3;2.22068e+0
54.7;9.4;5.64626e+0
54.7;9.5;1.62442e-1
54.7;9.6;3.25652e-1
54.7;9.7;8.85089e-2
54.7;9.8;1.20729e-1
54.7;9.9;9.11939e-2
54.6;8.5;4.60381e-1
54.6;8.9;6.22631e-1
54.6;9.2;1.43743e-1
54.6;9.3;5.87630e-1
54.6;9.4;2.32060e-1
54.6;9.5;1.14016e-1
54.6;9.6;1.42113e-1
54.6;9.7;4.03996e-1
54.6;9.9;4.86176e-1
54.6;10.0;6.48235e-2
54.6;13.2;8.30431e-2
54.5;8.9;1.73470e-1
54.5;9.0;2.73965e-1
54.5;9.1;1.18907e-1
54.5;9.2;3.90283e-2
54.5;9.3;2.45965e-1
54.5;9.4;1.91210e-1
54.5;9.5;1.79128e+0
54.5;9.8;1.67237e-1
54.5;10.0;6.32892e-2
54.5;13.5;6.69331e-2
54.5;13.6;4.69682e-1
54.4;9.0;2.29893e+0
54.4;9.1;1.55826e-1
54.4;9.2;1.53908e-1
54.4;9.3;6.30974e-2
54.4;9.4;1.74429e-1
54.4;9.5;8.29951e-1
54.4;9.6;2.84130e-1
54.4;9.7;2.08662e-1
54.4;9.8;2.06179e+0
54.4;9.9;2.70034e-1
54.4;10.0;1.40195e-1
54.4;10.1;1.17938e+0
54.4;10.2;8.71665e-2
54.4;10.3;6.80838e-2
54.4;10.4;5.79192e-2
54.4;11.1;2.92856e-1
54.4;11.2;3.20282e-2
54.4;12.5;1.00016e-1
54.4;12.6;1.86703e-1
54.4;13.2;6.26179e-2
54.4;13.4;9.38694e-1
54.4;13.5;4.58175e-1
54.4;13.6;3.73981e-3
54.3;8.5;3.64392e-2
54.3;8.6;1.24660e-1
54.3;8.7;2.33786e-1
54.3;8.9;2.71856e-1
54.3;9.0;5.08423e-1
54.3;9.1;7.43168e-2
54.3;9.3;1.12003e-1
54.3;9.4;8.11252e-2
54.3;9.5;6.47276e-1
54.3;9.6;2.99780e+0
54.3;9.7;6.68468e-1
54.3;9.8;8.24677e-2
54.3;9.9;4.79080e-1
54.3;10.0;5.73592e+0
54.3;10.1;1.50809e+1
54.3;10.2;1.82541e+0
54.3;10.3;4.59997e-1
54.3;10.8;1.21688e-1
54.3;10.9;7.94567e-1
54.3;11.0;1.52949e-1
54.3;12.3;9.84818e-2
54.3;12.6;1.10277e-1
54.3;12.7;5.96261e-1
54.3;12.9;7.11524e-2
54.3;13.0;3.83475e+0
54.3;13.1;1.85073e-1
54.3;13.2;1.29072e-1
54.3;13.3;6.50152e-2
54.3;13.4;3.94982e-1
54.3;13.5;7.09606e-2
54.3;13.6;3.26994e-1
54.3;13.7;9.88654e-2
54.2;8.6;3.15487e-2
54.2;8.9;2.95349e-1
54.2;9.0;4.29024e-1
54.2;9.1;4.59230e-1
54.2;9.2;3.01007e-1
54.2;9.4;3.75899e-2
54.2;9.5;2.23430e-1
54.2;9.6;1.92677e+0
54.2;9.7;1.09318e-1
54.2;9.8;5.99329e-2
54.2;9.9;2.94391e-2
54.2;10.0;1.61320e+0
54.2;10.1;3.79246e+0
54.2;10.2;2.50769e+0
54.2;10.3;2.45485e-2
54.2;10.4;1.18044e-1
54.2;10.5;5.01998e-1
54.2;10.8;9.05515e-1
54.2;10.9;2.07704e-1
54.2;12.1;1.37127e-2
54.2;12.2;4.16462e-1
54.2;12.3;1.31852e-1
54.2;12.4;9.29584e-1
54.2;12.7;4.66038e-2
54.2;12.8;9.57968e-2
54.2;12.9;8.76459e-2
54.2;13.0;1.16078e+0
54.2;13.1;3.54036e-1
54.1;7.8;1.17852e-1
54.1;8.8;4.35928e-1
54.1;8.9;7.91115e-2
54.1;9.0;1.56880e+0
54.1;9.1;5.31629e-1
54.1;9.2;2.63897e-1
54.1;9.3;8.34266e-2
54.1;9.4;1.93320e-1
54.1;9.8;7.83923e-1
54.1;9.9;8.90555e-1
54.1;10.0;1.01416e+0
54.1;10.1;4.32476e-2
54.1;10.2;1.86703e-1
54.1;10.3;2.10772e-1
54.1;10.4;8.16334e-1
54.1;10.5;1.20480e+0
54.1;10.6;8.61212e-1
54.1;10.7;1.31757e-1
54.1;10.8;5.61068e-1
54.1;10.9;4.75436e-1
54.1;11.0;7.97827e-2
54.1;11.6;5.72479e-2
54.1;11.7;6.09877e-1
54.1;11.8;2.15087e-1
54.1;11.9;7.72128e-1
54.1;12.0;7.41749e+0
54.1;12.1;4.82417e+0
54.1;12.2;1.87183e-1
54.1;12.5;1.26099e-1
54.1;12.6;5.60013e-2
54.1;12.8;6.64536e-2
54.1;13.0;6.76523e-1
54.1;13.1;6.52070e-2
54.1;13.3;2.59773e-1
54.1;13.4;1.17469e-1
54.1;13.6;1.96292e-1
54.1;13.7;1.04139e-1
54.1;13.8;2.45485e-1
54.0;-128.4;2.30451e+4
54.0;9.0;6.68084e-1
54.0;9.1;1.60908e-1
54.0;9.2;9.37830e-2
54.0;9.3;1.40003e-1
54.0;9.4;2.25731e-1
54.0;9.5;5.04396e-2
54.0;9.6;4.32380e-1
54.0;9.7;1.62634e-1
54.0;9.8;5.08231e-2
54.0;9.9;5.35676e+0
54.0;10.0;1.50657e+0
54.0;10.1;6.31933e-2
54.0;10.2;7.24565e-1
54.0;10.3;6.01247e-2
54.0;10.4;7.08647e-2
54.0;10.5;3.76283e-1
54.0;10.6;2.10484e-1
54.0;10.7;8.41075e-1
54.0;10.8;5.44095e-1
54.0;11.6;3.70721e-1
54.0;11.7;3.15583e-1
54.0;11.8;1.85648e-1
54.0;11.9;1.52661e-1
54.0;12.0;2.52351e+0
54.0;12.1;5.44996e+0
54.0;12.2;4.86080e-1
54.0;12.3;1.69346e-1
54.0;12.4;2.40499e-1
54.0;12.7;1.52757e-1
54.0;13.0;4.63162e-2
54.0;13.3;3.37235e+0
