Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Afghanistan,AFG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.002316241,0.002994516,0.001988824,0.002812493,0,0,0,0,0,
Angola,AGO,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albania,ALB,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0.604964557,0.692259344,0.440841191,0.674238792,3.647668602,3.651131252,1.489163096,2.322708047,0.431830628,0.146794463,0.045027312,0.037183656,0.037460468,0.008600433,0.018331495,0.005672402,0,0,0,0,0.00996934,0.025123242,0.121229707,0.834611353,0.078706623,0.0418367,0.142023694,0.218928064,0.165774444,0.111634516,0.105381258,0.065794847,0.002694133,0,0.040868827,0.036388555,0.038933811,0.180213706,
Andorra,AND,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
United Arab Emirates,ARE,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,ARG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,0.025668335,0.017174775,0.025931809,0.055811007,0.06676958,0.029998885,0.038951493,0.043100832,0.031165752,0.059226066,0.065917911,0.03022265,0.018986992,0.022178046,0.028056467,0.022592436,0.011046741,0.012139289,0.187625766,0.296510963,0.060109856,0.012867516,0.008259854,0.002843381,0.004873942,0.006198879,0.005517457,0.004537976,0.014256334,0.022251984,0.002020369,0.001119119,0.199715933,0.189784358,0.226514484,0.208636459,0.550799858,0.431152491,0.308451844,0.299002838,0.522757302,0.516427776,0.431941664,0.230446182,0.237871847,0.076578009,0.145541934,0.103008865,0.182567164,0.187297066,0.257461778,0.580266655,
Armenia,ARM,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.265019425,0.26948156,0.46429817,0.551537755,0.281076391,0.291894849,0.088170258,0.148454247,0.271357452,0.280957152,0.570610604,0.006165259,0,0,0,0,0,0.032994057,2.356602742,2.46981729,1.137141993,0.864490764,0.0660727,0.495863085,0,0,0.826353695,1.94779106,2.151672223,6.786568475,
American Samoa,ASM,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,ATG,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,,,,,,,,,,,1.470685731,1.412515801,1.315015986,1.847522248,2.092474962,1.628952577,1.950897661,2.017082227,1.520271157,1.779067798,1.992930879,1.346576395,1.337776518,1.245890678,1.347477009,1.518570797,1.291559058,1.417862884,2.811492194,1.514301148,1.509737253,1.268602333,1.19653198,0.93808861,0.944299542,0.862292199,0.8236615,0.769712288,1.024913779,0.901811388,0.944083749,1.14917514,1.027249698,0.75689793,0.902925008,1.903139001,2.80480565,4.253489766,4.12640451,2.376292199,4.855348362,5.028480035,3.045172491,3.55343966,2.91578772,1.851790924,2.588433725,3.185874884,2.861055972,3.31748181,4.088047232,10.46577549,
