country,year,rp,impact
AFG,1991,34.0,128931.0
AFG,2009,17.0,27282.0
AGO,2000,34.0,16995.0
ALB,2002,34.0,28472.0
ALB,2004,17.0,268.0
ARG,1993,34.0,2212258.0
ARG,1998,17.0,1974870.0
ARG,2003,11.333333333333334,1635754.0
ARG,2013,8.5,1633139.0
ARG,2001,6.8,1239596.0
ARG,2016,5.666666666666667,1221798.0
ARG,1992,4.857142857142857,542275.0
ARG,2000,4.25,509852.0
ARG,2014,3.7777777777777777,76645.0
ARG,2007,3.4,56459.0
ARG,2020,3.090909090909091,11308.0
ARM,1997,34.0,14586.0
ARM,1998,17.0,215.0
AUS,2010,34.0,9943706.0
AUS,2022,17.0,8446000.0
AUS,2008,11.333333333333334,2806899.0
AUS,2021,8.5,2376062.0
AUS,2019,6.8,2289430.0
AUS,2020,5.666666666666667,1356919.0
AUS,2012,4.857142857142857,749502.0
AUS,2000,4.25,450369.0
AUS,1990,3.7777777777777777,437890.0
AUS,1998,3.4,399822.0
AUS,1996,3.090909090909091,383054.0
AUS,2001,2.8333333333333335,350393.0
AUS,2009,2.6153846153846154,204618.0
AUS,2005,2.4285714285714284,86916.0
AUS,2004,2.2666666666666666,81344.0
AUS,2016,2.125,30484.0
AUS,2018,2.0,13286.0
AUS,2003,1.8888888888888888,3182.0
AUT,2002,34.0,3904776.0
AUT,2013,17.0,1256261.0
AUT,2005,11.333333333333334,1048987.0
AUT,1997,8.5,319061.0
AUT,2009,6.8,272825.0
AUT,1991,5.666666666666667,176205.0
AUT,1999,4.857142857142857,56221.0
AUT,1995,4.25,384.0
AZE,2003,34.0,87498.0
AZE,1997,17.0,45580.0
AZE,1995,11.333333333333334,20549.0
BDI,2015,34.0,16052.0
BEL,2021,34.0,2160056.0
BEL,2010,17.0,319619.0
BEL,1993,11.333333333333334,34440.0
BEL,1998,8.5,17953.0
BEN,1995,34.0,5954.0
BEN,1999,17.0,378.0
BFA,2009,34.0,204618.0
BFA,2015,17.0,38277.0
BFA,2010,11.333333333333334,236.0
BGD,1998,34.0,7719947.0
BGD,2004,17.0,3408669.0
BGD,2017,11.333333333333334,749786.0
BGD,1995,8.5,720771.0
BGD,2020,6.8,565383.0
BGD,2022,5.666666666666667,462500.0
BGD,1991,4.857142857142857,322327.0
BGD,2014,4.25,197793.0
BGD,2016,3.7777777777777777,182904.0
BGD,2007,3.4,160906.0
BGD,2019,3.090909090909091,85854.0
BGD,2015,2.8333333333333335,49390.0
BGD,1996,2.6153846153846154,18658.0
BGD,1990,2.4285714285714284,13439.0
BGR,2005,34.0,684839.0
BGR,2014,17.0,478412.0
BGR,2015,11.333333333333334,7162.0
BGR,2012,8.5,5609.0
BGR,2002,6.8,1627.0
BHS,2013,34.0,56532.0
BIH,2014,34.0,539703.0
BIH,2010,17.0,116764.0
BLR,1993,34.0,202588.0
BLR,1999,17.0,7695.0
BLZ,2008,34.0,13181.0
BLZ,1990,17.0,4928.0
BLZ,1995,11.333333333333334,960.0
BOL,2007,34.0,832759.0
BOL,1992,17.0,417134.0
