year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
1991,1991-0032-AFG,AFG,Riverine flood,128931.0,1991-0032
2009,2009-0168-AFG,AFG,Riverine flood,27282.0,2009-0168
2000,2000-0002-AGO,AGO,Riverine flood,16995.0,2000-0002
2002,2002-0607-ALB,ALB,Riverine flood,28472.0,2002-0607
2004,2004-0633-ALB,ALB,Riverine flood,268.0,2004-0633
1992,1992-0075-ARG,ARG,Riverine flood,542275.0,1992-0075
1993,1993-0497-ARG,ARG,Riverine flood,1215526.0,1993-0497
1993,1993-0027-ARG,ARG,Riverine flood,810351.0,1993-0027
1993,1993-0496-ARG,ARG,Flood (General),186381.0,1993-0496
1998,1998-0080-ARG,ARG,Flood (General),1974870.0,1998-0080
2000,2000-0733-ARG,ARG,Flood (General),509852.0,2000-0733
2001,2001-0582-ARG,ARG,Riverine flood,1239596.0,2001-0582
2003,2003-0196-ARG,ARG,Riverine flood,1635754.0,2003-0196
2007,2007-0060-ARG,ARG,Riverine flood,42344.0,2007-0060
2007,2007-0135-ARG,ARG,Riverine flood,14115.0,2007-0135
2013,2013-0119-ARG,ARG,Riverine flood,1633139.0,2013-0119
2014,2014-0188-ARG,ARG,Riverine flood,76645.0,2014-0188
2016,2016-0127-ARG,ARG,Riverine flood,1219359.0,2016-0127
2016,2016-0519-ARG,ARG,Riverine flood,2439.0,2016-0519
2020,2020-0092-ARG,ARG,Flood (General),11308.0,2020-0092
1997,1997-0111-ARM,ARM,Flood (General),14586.0,1997-0111
1998,1998-0338-ARM,ARM,Flood (General),215.0,1998-0338
1990,1990-0087-AUS,AUS,Riverine flood,437890.0,1990-0087
1996,1996-0320-AUS,AUS,Riverine flood,383054.0,1996-0320
1998,1998-0261-AUS,AUS,Riverine flood,220288.0,1998-0261
1998,1998-0227-AUS,AUS,Riverine flood,179534.0,1998-0227
2000,2000-0750-AUS,AUS,Riverine flood,450369.0,2000-0750
2001,2001-0130-AUS,AUS,Riverine flood,330559.0,2001-0130
2001,2001-0028-AUS,AUS,Flood (General),19834.0,2001-0028
2003,2003-0079-AUS,AUS,Riverine flood,3182.0,2003-0079
2004,2004-0091-AUS,AUS,Riverine flood,49581.0,2004-0091
2004,2004-0662-AUS,AUS,Riverine flood,23241.0,2004-0662
2004,2004-0537-AUS,AUS,Riverine flood,8522.0,2004-0537
2005,2005-0523-AUS,AUS,Riverine flood,86916.0,2005-0523
2008,2008-0098-AUS,AUS,Riverine flood,1495200.0,2008-0098
2008,2008-0017-AUS,AUS,Riverine flood,815564.0,2008-0017
2008,2008-0581-AUS,AUS,Riverine flood,373800.0,2008-0581
2008,2008-0014-AUS,AUS,Riverine flood,122335.0,2008-0014
2009,2009-0615-AUS,AUS,Riverine flood,204618.0,2009-0615
2010,2010-0656-AUS,AUS,Riverine flood,9797416.0,2010-0656
2010,2010-0103-AUS,AUS,Riverine flood,146290.0,2010-0103
2012,2012-0037-AUS,AUS,Riverine flood,462703.0,2012-0037
2012,2012-0029-AUS,AUS,Riverine flood,286799.0,2012-0029
2016,2016-0428-AUS,AUS,Flood (General),30484.0,2016-0428
2018,2018-0123-AUS,AUS,Flood (General),13286.0,2018-0123
2019,2019-0028-AUS,AUS,Riverine flood,2289430.0,2019-0028
2020,2020-0053-AUS,AUS,Flood (General),1356919.0,2020-0053
2021,2021-0169-AUS,AUS,Flood (General),2268059.0,2021-0169
