country,year,rp,impact
ARG,1998,34.0,1974870.0
ARG,2000,17.0,509852.0
ARG,1993,11.333333333333334,186381.0
ARG,2020,8.5,11308.0
ARM,1997,34.0,14586.0
ARM,1998,17.0,215.0
AUS,2022,34.0,8446000.0
AUS,2021,17.0,2376062.0
AUS,2020,11.333333333333334,1356919.0
AUS,2016,8.5,30484.0
AUS,2001,6.8,19834.0
AUS,2018,5.666666666666667,13286.0
AUT,1995,34.0,384.0
AZE,1997,34.0,45580.0
AZE,1995,17.0,7682.0
BDI,2015,34.0,16052.0
BEL,2021,34.0,2160056.0
BEN,1995,34.0,5954.0
BEN,1999,17.0,378.0
BGD,2017,34.0,596963.0
BGD,2020,17.0,565383.0
BGD,2022,11.333333333333334,462500.0
BGD,1995,8.5,384104.0
BGD,2019,6.8,85854.0
BGR,2002,34.0,1627.0
BLZ,1990,34.0,4928.0
BLZ,1995,17.0,960.0
BOL,2020,34.0,11308.0
BRA,2022,34.0,1141000.0
BRA,2021,17.0,572415.0
BRA,2020,11.333333333333334,565382.0
BRA,2016,8.5,121936.0
BRA,2018,6.8,61770.0
BRA,1998,5.666666666666667,1795.0
BRA,2023,4.857142857142857,0.0
CAN,2021,34.0,2160056.0
CAN,2019,17.0,915772.0
CAN,2017,11.333333333333334,238785.0
CAN,1995,8.5,140774.0
CAN,2022,6.8,36000.0
CHE,1997,34.0,124890.0
CHL,2001,34.0,14710.0
CHL,2017,17.0,2388.0
CHL,2023,11.333333333333334,0.0
CHN,2016,34.0,37872060.0
CHN,2020,17.0,24650695.0
CHN,2021,11.333333333333334,17994347.0
CHN,1993,8.5,12278842.0
CHN,2017,6.8,9514399.0
CHN,2019,5.666666666666667,7200256.0
CHN,2018,4.857142857142857,5002122.0
CHN,2022,4.25,5000000.0
CHN,2015,3.7777777777777777,3447398.0
CHN,1998,3.4,1301080.0
CHN,2002,3.090909090909091,959925.0
CHN,1999,2.8333333333333335,891448.0
CHN,2014,2.6153846153846154,597088.0
CHN,2000,2.4285714285714284,292315.0
CHN,2001,2.2666666666666666,39667.0
CHN,1991,2.125,30342.0
CHN,2023,2.0,0.0
COL,2020,34.0,39577.0
COL,2022,17.0,11000.0
COL,1999,11.333333333333334,5.0
CRI,1999,34.0,1757.0
CUB,2022,34.0,25000.0
DEU,2021,34.0,43201120.0
DEU,2002,17.0,18873085.0
DEU,2016,11.333333333333334,2438717.0
DEU,1992,8.5,62779.0
DOM,2002,34.0,813.0
DOM,2023,17.0,0.0
DZA,2005,34.0,10873.0
ECU,1997,34.0,494089.0
ECU,2022,17.0,53000.0
ECU,2002,11.333333333333334,4881.0
ECU,2023,8.5,0.0
EGY,1997,34.0,1823.0
ESP,2019,34.0,2861787.0
ESP,2018,17.0,174819.0
ESP,2021,11.333333333333334,38881.0
ESP,2023,8.5,0.0
FRA,2016,34.0,2926461.0
FRA,2018,17.0,829807.0
FRA,1994,11.333333333333334,187568.0
FRA,2021,8.5,35641.0
FRA,2023,6.8,0.0
GBR,1997,34.0,273481.0
GBR,1993,17.0,74957.0
GHA,2015,34.0,14817.0
GRC,1997,34.0,291713.0
GRC,2016,17.0,68284.0
GRC,2020,11.333333333333334,33923.0
GTM,2022,34.0,204000.0
GTM,1999,17.0,1757.0
HND,1996,34.0,57841.0
HND,1995,17.0,7682.0
HND,1999,11.333333333333334,2635.0
HTI,2023,34.0,0.0
IDN,2016,34.0,131692.0
IDN,2022,17.0,74000.0
IDN,2021,11.333333333333334,54001.0
IDN,2020,8.5,22616.0
IDN,2019,6.8,17171.0
IDN,1994,5.666666666666667,2962.0
IND,1993,34.0,14181141.0
IND,2020,17.0,13015115.0
IND,2019,11.333333333333334,11447148.0
IND,2022,8.5,4200000.0
IND,2021,6.8,3456090.0
IND,2015,5.666666666666667,2716432.0
IND,2017,4.857142857142857,2169365.0
IND,2016,4.25,1522979.0
IND,1998,3.7777777777777777,949015.0
IND,1994,3.4,345519.0
IND,2001,3.090909090909091,213211.0
IND,1992,2.8333333333333335,143912.0
IND,1996,2.6153846153846154,32839.0
IND,1999,2.4285714285714284,4217.0
IND,2018,2.2666666666666666,2914.0
IND,2008,2.125,2719.0
IRN,2019,34.0,2953364.0
IRN,2020,17.0,2666346.0
IRN,1993,11.333333333333334,458456.0
IRN,2014,8.5,60574.0
IRQ,2020,34.0,113077.0
ISR,1997,34.0,72928.0
ITA,2002,34.0,481589.0
ITA,2000,17.0,84975.0
ITA,2020,11.333333333333334,11308.0
ITA,2023,8.5,0.0
JAM,1993,34.0,22285.0
JOR,1997,34.0,1823.0
JPN,2018,34.0,11071871.0
JPN,2020,17.0,6558442.0
JPN,1995,11.333333333333334,142694.0
JPN,2022,8.5,141000.0
JPN,2019,6.8,114471.0
JPN,2021,5.666666666666667,108003.0
KAZ,2000,34.0,2549.0
KEN,2018,34.0,407911.0
KEN,1997,17.0,21514.0
KEN,2020,11.333333333333334,11308.0
KOR,2020,34.0,474922.0
KOR,2022,17.0,423000.0
KOR,1996,11.333333333333334,223899.0
KOR,2000,8.5,39089.0
LAO,2015,34.0,12347.0
LAO,2000,17.0,1700.0
LAO,2016,11.333333333333334,61.0
LBY,1995,34.0,81046.0
LBY,2019,17.0,8127.0
LKA,2016,34.0,1463230.0
LKA,2017,17.0,464437.0
LKA,1992,11.333333333333334,5736.0
MDA,1997,34.0,91160.0
MDA,1999,17.0,7028.0
MDA,2002,11.333333333333334,1354.0
MEX,2021,34.0,10800.0
MEX,1991,17.0,4298.0
MKD,1995,34.0,470527.0
MMR,1992,34.0,114952.0
MMR,2016,17.0,2439.0
MOZ,2007,34.0,141146.0
MOZ,2018,17.0,5944.0
MWI,2000,34.0,1700.0
MYS,2016,34.0,160955.0
MYS,2020,17.0,7689.0
MYS,2022,11.333333333333334,240.0
NER,2017,34.0,11939.0
NER,2020,17.0,11308.0
NGA,2022,34.0,4200000.0
NGA,2018,17.0,320502.0
NGA,2020,11.333333333333334,113077.0
NGA,2000,8.5,3229.0
NPL,2017,34.0,710386.0
NPL,2019,17.0,233522.0
NPL,2020,11.333333333333334,113077.0
NPL,1998,8.5,39497.0
NPL,2000,6.8,10707.0
NZL,2021,34.0,266767.0
NZL,2015,17.0,123474.0
NZL,2020,11.333333333333334,113076.0
NZL,2017,8.5,84769.0
NZL,2018,6.8,29137.0
NZL,2000,5.666666666666667,1700.0
NZL,2023,4.857142857142857,0.0
PAK,2020,34.0,1696149.0
PAK,2021,17.0,10800.0
PAK,1992,11.333333333333334,480.0
PAN,2000,34.0,2209.0
PER,2017,34.0,3820565.0
PER,1994,17.0,98720.0
PER,2016,11.333333333333334,2439.0
PER,2023,8.5,0.0
PHL,1992,34.0,154757.0
PHL,2016,17.0,11364.0
PHL,2022,11.333333333333334,11000.0
PHL,2017,8.5,9671.0
PHL,1993,6.8,5267.0
PHL,1994,5.666666666666667,3258.0
PHL,1995,4.857142857142857,273.0
PHL,2015,4.25,247.0
PHL,2023,3.7777777777777777,0.0
PNG,1993,34.0,5065.0
PRI,2022,34.0,17000.0
PRK,1996,34.0,4104818.0
PRK,2018,17.0,29137.0
PRY,1998,34.0,8977.0
PRY,1997,17.0,3076.0
PYF,2017,34.0,2388.0
ROU,2020,34.0,96115.0
RUS,2019,34.0,556332.0
RUS,2021,17.0,216006.0
RUS,2016,11.333333333333334,14633.0
RUS,2018,8.5,11655.0
RUS,2000,6.8,8961.0
RWA,2018,34.0,25640.0
SDN,2020,34.0,282691.0
SEN,2020,34.0,20354.0
SRB,2020,34.0,31661.0
SUN,1991,34.0,4297691.0
SUR,2022,34.0,21000.0
SYC,1997,34.0,3099.0
THA,1993,34.0,1458530.0
THA,2021,17.0,638297.0
THA,1994,11.333333333333334,529138.0
THA,2017,8.5,368206.0
THA,2016,6.8,176807.0
THA,2000,5.666666666666667,86760.0
THA,2022,4.857142857142857,13000.0
THA,1991,4.25,3176.0
TJK,1992,34.0,625702.0
TJK,2021,17.0,9720.0
TTO,2018,34.0,4312.0
TUR,2021,34.0,338049.0
TUR,2020,17.0,282691.0
TUR,1995,11.333333333333334,96026.0
TUR,2023,8.5,0.0
TWN,1997,34.0,106293.0
TZA,1993,34.0,7111.0
UKR,2020,34.0,173981.0
URY,1998,34.0,8977.0
URY,2016,17.0,3658.0
USA,2016,34.0,15363919.0
USA,1997,17.0,9116027.0
USA,2020,11.333333333333334,2374608.0
USA,2021,8.5,2052052.0
USA,2017,6.8,2029675.0
USA,1991,5.666666666666667,1826519.0
USA,2022,4.857142857142857,1500000.0
USA,2015,4.25,864319.0
USA,1993,3.7777777777777777,384917.0
USA,2000,3.4,169951.0
USA,2018,3.090909090909091,145683.0
USA,1999,2.8333333333333335,527.0
USA,2023,2.6153846153846154,0.0
VCT,2016,34.0,7926.0
VEN,2020,34.0,33923.0
VNM,2016,34.0,69504.0
VNM,1996,17.0,25002.0
VNM,2019,11.333333333333334,14881.0
VNM,2017,8.5,1976.0
VNM,2022,6.8,1500.0
ZAF,2022,34.0,3675000.0
ZAF,2016,17.0,219485.0
ZAF,2021,11.333333333333334,81002.0
ZAF,2019,8.5,57236.0
ZMB,1998,34.0,37163.0
ZWE,2001,34.0,5950.0
