country,year,rp,impact
AFG,1991,32.0,128931.0
AFG,2009,16.0,27282.0
AGO,2000,32.0,16995.0
ALB,2002,32.0,28472.0
ALB,2004,16.0,268.0
ARG,1993,32.0,2025877.0
ARG,2003,16.0,1635754.0
ARG,2013,10.666666666666666,1633139.0
ARG,2001,8.0,1239596.0
ARG,2016,6.4,1221798.0
ARG,1992,5.333333333333333,542275.0
ARG,2014,4.571428571428571,76645.0
ARG,2007,4.0,56459.0
AUS,2010,32.0,9943706.0
AUS,2008,16.0,2806899.0
AUS,2019,10.666666666666666,2289430.0
AUS,2012,8.0,749502.0
AUS,2000,6.4,450369.0
AUS,1990,5.333333333333333,437890.0
AUS,1998,4.571428571428571,399822.0
AUS,1996,4.0,383054.0
AUS,2001,3.5555555555555554,330559.0
AUS,2009,3.2,204618.0
AUS,2005,2.909090909090909,86916.0
AUS,2004,2.6666666666666665,81344.0
AUS,2003,2.4615384615384617,3182.0
AUT,2002,32.0,3904776.0
AUT,2013,16.0,1256261.0
AUT,2005,10.666666666666666,1048987.0
AUT,1997,8.0,319061.0
AUT,2009,6.4,272825.0
AUT,1991,5.333333333333333,176205.0
AUT,1999,4.571428571428571,56221.0
AZE,2003,32.0,87498.0
AZE,1995,16.0,12867.0
BEL,2010,32.0,319619.0
BEL,1993,16.0,34440.0
BEL,1998,10.666666666666666,17953.0
BFA,2009,32.0,204618.0
BFA,2015,16.0,38277.0
BFA,2010,10.666666666666666,236.0
BGD,1998,32.0,7719947.0
BGD,2004,16.0,3408669.0
BGD,1995,10.666666666666666,336667.0
BGD,1991,8.0,322327.0
BGD,2014,6.4,197793.0
BGD,2016,5.333333333333333,182904.0
BGD,2007,4.571428571428571,160906.0
BGD,2017,4.0,152823.0
BGD,2015,3.5555555555555554,49390.0
BGD,1996,3.2,18658.0
BGD,1990,2.909090909090909,13439.0
BGR,2005,32.0,684839.0
BGR,2014,16.0,478412.0
BGR,2015,10.666666666666666,7162.0
BGR,2012,8.0,5609.0
BHS,2013,32.0,56532.0
BIH,2014,32.0,539703.0
BIH,2010,16.0,116764.0
BLR,1993,32.0,202588.0
BLR,1999,16.0,7695.0
BLZ,2008,32.0,13181.0
BOL,2007,32.0,832759.0
BOL,1992,16.0,417134.0
BOL,2001,10.666666666666666,199988.0
BOL,2002,8.0,162699.0
BOL,1997,6.4,127624.0
BOL,2006,5.333333333333333,50810.0
BOL,2011,4.571428571428571,26021.0
BOL,2013,4.0,3141.0
BOL,2003,3.5555555555555554,1591.0
BRA,2008,32.0,1508793.0
BRA,2011,16.0,1303642.0
BRA,2010,10.666666666666666,1076373.0
BRA,2009,8.0,818474.0
BRA,2013,6.4,685291.0
BRA,2003,5.333333333333333,482035.0
BRA,2014,4.571428571428571,247241.0
BRA,2012,4.0,217967.0
BRA,2017,3.5555555555555554,119393.0
BRA,1992,3.2,53810.0
BRA,1995,2.909090909090909,5762.0
BRA,1991,2.6666666666666665,4298.0
BRA,2015,2.4615384615384617,2469.0
BRA,2004,2.2857142857142856,573.0
BWA,2000,32.0,8498.0
CAN,2013,32.0,7160686.0
CAN,2020,16.0,1469996.0
CAN,1996,10.666666666666666,1361307.0
CAN,2011,8.0,1040832.0
CAN,2005,6.4,534983.0
CAN,1997,5.333333333333333,218785.0
CAN,2012,4.571428571428571,43339.0
CAN,2003,4.0,39772.0
CAN,1990,3.5555555555555554,19039.0
CHE,2005,32.0,3146960.0
CHE,1999,16.0,579775.0
CHE,2007,10.666666666666666,494010.0
CHL,1997,32.0,332553.0
CHL,2002,16.0,325398.0
CHL,2016,10.666666666666666,121936.0
CHL,1993,8.0,68880.0
CHL,2008,6.4,31263.0
CHL,2012,5.333333333333333,3951.0
CHN,1998,32.0,55653099.0
CHN,1996,16.0,35291169.0
CHN,2003,10.666666666666666,24387553.0
CHN,2010,8.0,24387512.0
CHN,2013,6.4,20852169.0
CHN,2012,5.333333333333333,19082127.0
CHN,1991,4.571428571428571,17255228.0
CHN,1994,4.0,14885169.0
CHN,1999,3.5555555555555554,14230852.0
CHN,2011,3.2,13926499.0
CHN,1995,2.909090909090909,12905878.0
CHN,2014,2.6666666666666665,10751289.0
CHN,2007,2.4615384615384617,6943174.0
CHN,2005,2.2857142857142856,6910216.0
CHN,2015,2.1333333333333333,5185917.0
CHN,1997,2.0,4447892.0
CHN,2008,1.8823529411764706,3251380.0
CHN,2004,1.7777777777777777,3076324.0
CHN,2006,1.6842105263157894,2245086.0
CHN,2009,1.6,1872941.0
CHN,1990,1.5238095238095237,1798598.0
CHN,2002,1.4545454545454546,1690117.0
CHN,1992,1.391304347826087,832392.0
CHN,2016,1.3333333333333333,687718.0
CHN,2001,1.28,639632.0
CHN,2019,1.2307692307692308,360585.0
CHN,2018,1.1851851851851851,323998.0
CHN,2017,1.1428571428571428,238785.0
CHN,2000,1.103448275862069,163153.0
CHN,1993,1.0666666666666667,54699.0
CMR,2012,32.0,2549.0
COG,1998,32.0,106.0
COL,2011,32.0,3018412.0
COL,2010,16.0,1342112.0
COL,2012,10.666666666666666,130016.0
COL,2005,8.0,14986.0
COL,2014,6.4,9890.0
COL,1997,5.333333333333333,5470.0
COL,2013,4.571428571428571,2513.0
COL,2017,4.0,2388.0
COM,2012,32.0,6373.0
CRI,1996,32.0,466457.0
CRI,2007,16.0,112917.0
CRI,2005,10.666666666666666,37464.0
CRI,2008,8.0,29904.0
CRI,1994,6.4,5923.0
CRI,2002,5.333333333333333,1627.0
CUB,1992,32.0,5402.0
CZE,2002,32.0,3904776.0
CZE,1997,16.0,3372930.0
CZE,2013,10.666666666666666,1040877.0
CZE,2010,8.0,255001.0
CZE,2009,6.4,204618.0
CZE,2000,5.333333333333333,135960.0
CZE,1998,4.571428571428571,93358.0
CZE,1996,4.0,67170.0
DEU,2013,32.0,16205764.0
DEU,1993,16.0,1215526.0
DEU,1994,10.666666666666666,776925.0
DEU,1999,8.0,755465.0
DEU,1997,6.4,656354.0
DEU,2005,5.333333333333333,329682.0
DEU,2009,4.571428571428571,27282.0
DFR,1991,32.0,120335.0
DJI,1994,32.0,4184.0
DOM,2009,32.0,71484.0
DOM,2003,16.0,3341.0
DOM,2013,10.666666666666666,128.0
DZA,2011,32.0,1013510.0
DZA,2001,16.0,495838.0
DZA,2002,10.666666666666666,2440.0
DZA,1992,8.0,1877.0
DZA,2006,6.4,1742.0
ECU,2008,32.0,1359273.0
ECU,1992,16.0,41713.0
ECU,2002,10.666666666666666,21151.0
ECU,2006,8.0,4065.0
EGY,1994,32.0,276415.0
ESP,1996,32.0,1075835.0
ESP,2007,16.0,564583.0
ESP,2012,10.666666666666666,503492.0
ESP,2019,8.0,66393.0
ESP,2004,6.4,22133.0
ETH,1994,32.0,6910.0
ETH,1999,16.0,4744.0
ETH,2013,10.666666666666666,2764.0
ETH,1995,8.0,960.0
FJI,2012,32.0,113445.0
FJI,2009,16.0,58994.0
FJI,2007,10.666666666666666,42344.0
FJI,2006,8.0,726.0
FRA,2002,32.0,1936118.0
FRA,1993,16.0,1215526.0
FRA,2001,10.666666666666666,218747.0
FRA,1994,8.0,9872.0
GBR,2007,32.0,11923987.0
GBR,2000,16.0,10027082.0
GBR,2012,10.666666666666666,2754547.0
GBR,2013,8.0,1884391.0
GBR,2015,6.4,1481690.0
GBR,1998,5.333333333333333,897668.0
GBR,2014,4.571428571428571,771393.0
GBR,2009,4.0,660235.0
GBR,1994,3.5555555555555554,465958.0
GBR,1993,3.2,303882.0
GBR,1997,2.909090909090909,179403.0
GBR,2008,2.6666666666666665,67964.0
GBR,1999,2.4615384615384617,57415.0
GEO,1997,32.0,53785.0
GEO,1995,16.0,4225.0
GEO,2004,10.666666666666666,3340.0
GHA,1999,32.0,36895.0
GHA,1995,16.0,24006.0
GRC,2003,32.0,954525.0
GRC,1994,16.0,864193.0
GRC,2006,10.666666666666666,8215.0
GTM,2011,32.0,80551.0
GUY,2005,32.0,696977.0
GUY,2006,16.0,245341.0
HKG,1992,32.0,104284.0
HKG,1994,16.0,73053.0
HKG,1997,10.666666666666666,18232.0
HND,1990,32.0,223985.0
HND,2002,16.0,162699.0
HND,2003,10.666666666666666,31818.0
HND,2006,8.0,11614.0
HND,2014,6.4,1731.0
HRV,2010,32.0,107369.0
HTI,2016,32.0,2439.0
HUN,2010,32.0,590529.0
HUN,1999,16.0,515473.0
HUN,2000,10.666666666666666,93473.0
HUN,2005,8.0,71931.0
HUN,2002,6.4,48810.0
HUN,1997,5.333333333333333,18232.0
HUN,2001,4.571428571428571,8264.0
IDN,2013,32.0,3776321.0
IDN,2007,16.0,1370524.0
IDN,2014,10.666666666666666,1147200.0
IDN,1996,8.0,1048836.0
IDN,2002,6.4,572050.0
IDN,2015,5.333333333333333,290164.0
IDN,1995,4.571428571428571,96794.0
IDN,2004,4.0,92964.0
IDN,2000,3.5555555555555554,57783.0
IDN,1994,3.2,42932.0
IDN,2006,2.909090909090909,39342.0
IDN,1993,2.6666666666666665,39101.0
IDN,1991,2.4615384615384617,31803.0
IDN,2017,2.2857142857142856,22685.0
IDN,1990,2.1333333333333333,10751.0
IDN,2008,2.0,2356.0
IND,2014,32.0,20354143.0
IND,2005,16.0,9276041.0
IND,2006,10.666666666666666,4921334.0
IND,2004,8.0,4301120.0
IND,2009,6.4,3320275.0
IND,2010,5.333333333333333,2884198.0
IND,2011,4.571428571428571,2155823.0
IND,2013,4.0,1711028.0
IND,2000,3.5555555555555554,1248287.0
IND,1993,3.2,1012939.0
IND,2015,2.909090909090909,745784.0
IND,1991,2.6666666666666665,554403.0
IND,1992,2.4615384615384617,500457.0
IND,1995,2.2857142857142856,499819.0
IND,1997,2.1333333333333333,409857.0
IND,2001,2.0,342003.0
IND,1996,1.8823529411764706,329095.0
IND,2012,1.7777777777777777,311018.0
IND,2003,1.6842105263157894,268858.0
IND,2007,1.6,142770.0
IND,2002,1.5238095238095237,82606.0
IND,2008,1.4545454545454546,27185.0
IRL,2011,32.0,422838.0
IRN,1992,32.0,7236038.0
IRN,1993,16.0,2025877.0
IRN,1991,10.666666666666666,931310.0
IRN,1994,8.0,280364.0
IRN,1990,6.4,173364.0
IRN,1995,5.333333333333333,172847.0
IRN,2002,4.571428571428571,102598.0
IRN,1998,4.0,90664.0
IRN,1996,3.5555555555555554,68905.0
IRN,1997,3.2,45580.0
IRN,2001,2.909090909090909,41320.0
IRN,2006,2.6666666666666665,23228.0
IRN,2003,2.4615384615384617,1333.0
IRQ,2006,32.0,1887.0
ITA,1994,32.0,18361882.0
