country,year,rp,impact
AFG,1991,34.0,128931000.0
AFG,2009,17.0,27282000.0
AGO,2000,34.0,16995000.0
ALB,2002,34.0,28472000.0
ALB,2004,17.0,268000.0
ARG,1993,34.0,2212258000.0
ARG,1998,17.0,1974870000.0
ARG,2003,11.333333333333334,1635754000.0
ARG,2013,8.5,1633139000.0
ARG,2001,6.8,1239596000.0
ARG,2016,5.666666666666667,1221798000.0
ARG,1992,4.857142857142857,542275000.0
ARG,2000,4.25,509852000.0
ARG,2014,3.7777777777777777,76645000.0
ARG,2007,3.4,56459000.0
ARG,2020,3.090909090909091,11308000.0
ARM,1997,34.0,14586000.0
ARM,1998,17.0,215000.0
AUS,2010,34.0,9943706000.0
AUS,2022,17.0,8446000000.0
AUS,2008,11.333333333333334,2806899000.0
AUS,2021,8.5,2376062000.0
AUS,2019,6.8,2289430000.0
AUS,2020,5.666666666666667,1356919000.0
AUS,2012,4.857142857142857,749502000.0
AUS,2000,4.25,450369000.0
AUS,1990,3.7777777777777777,437890000.0
AUS,1998,3.4,399822000.0
AUS,1996,3.090909090909091,383054000.0
AUS,2001,2.8333333333333335,350393000.0
AUS,2009,2.6153846153846154,204618000.0
AUS,2005,2.4285714285714284,86916000.0
AUS,2004,2.2666666666666666,81344000.0
AUS,2016,2.125,30484000.0
AUS,2018,2.0,13286000.0
AUS,2003,1.8888888888888888,3182000.0
AUT,2002,34.0,3904776000.0
AUT,2013,17.0,1256261000.0
AUT,2005,11.333333333333334,1048987000.0
AUT,1997,8.5,319061000.0
AUT,2009,6.8,272825000.0
AUT,1991,5.666666666666667,176205000.0
AUT,1999,4.857142857142857,56221000.0
AUT,1995,4.25,384000.0
AZE,2003,34.0,87498000.0
AZE,1997,17.0,45580000.0
AZE,1995,11.333333333333334,20549000.0
BDI,2015,34.0,16052000.0
BEL,2021,34.0,2160056000.0
BEL,2010,17.0,319619000.0
BEL,1993,11.333333333333334,34440000.0
BEL,1998,8.5,17953000.0
BEN,1995,34.0,5954000.0
BEN,1999,17.0,378000.0
BFA,2009,34.0,204618000.0
BFA,2015,17.0,38277000.0
BFA,2010,11.333333333333334,236000.0
BGD,1998,34.0,7719947000.0
BGD,2004,17.0,3408669000.0
BGD,2017,11.333333333333334,749786000.0
BGD,1995,8.5,720771000.0
BGD,2020,6.8,565383000.0
BGD,2022,5.666666666666667,462500000.0
BGD,1991,4.857142857142857,322327000.0
BGD,2014,4.25,197793000.0
BGD,2016,3.7777777777777777,182904000.0
BGD,2007,3.4,160906000.0
BGD,2019,3.090909090909091,85854000.0
BGD,2015,2.8333333333333335,49390000.0
BGD,1996,2.6153846153846154,18658000.0
BGD,1990,2.4285714285714284,13439000.0
BGR,2005,34.0,684839000.0
BGR,2014,17.0,478412000.0
BGR,2015,11.333333333333334,7162000.0
BGR,2012,8.5,5609000.0
BGR,2002,6.8,1627000.0
BHS,2013,34.0,56532000.0
BIH,2014,34.0,539703000.0
BIH,2010,17.0,116764000.0
BLR,1993,34.0,202588000.0
BLR,1999,17.0,7695000.0
BLZ,2008,34.0,13181000.0
BLZ,1990,17.0,4928000.0
BLZ,1995,11.333333333333334,960000.0
BOL,2007,34.0,832759000.0
BOL,1992,17.0,417134000.0
BOL,2001,11.333333333333334,199988000.0
BOL,2002,8.5,162699000.0
BOL,1997,6.8,127624000.0
BOL,2006,5.666666666666667,50810000.0
BOL,2011,4.857142857142857,26021000.0
BOL,2020,4.25,11308000.0
BOL,2013,3.7777777777777777,3141000.0
BOL,2003,3.4,1591000.0
BRA,2008,34.0,1508793000.0
BRA,2011,17.0,1303642000.0
BRA,2022,11.333333333333334,1141000000.0
BRA,2010,8.5,1076373000.0
BRA,2009,6.8,818474000.0
BRA,2013,5.666666666666667,685291000.0
BRA,2021,4.857142857142857,572415000.0
BRA,2020,4.25,565382000.0
BRA,2003,3.7777777777777777,482035000.0
BRA,2023,3.4,411200000.0
BRA,2014,3.090909090909091,247241000.0
BRA,2012,2.8333333333333335,217967000.0
BRA,2016,2.6153846153846154,121936000.0
BRA,2017,2.4285714285714284,119393000.0
BRA,2018,2.2666666666666666,61770000.0
BRA,1992,2.125,53810000.0
BRA,1995,2.0,5762000.0
BRA,1991,1.8888888888888888,4298000.0
BRA,2015,1.7894736842105263,2469000.0
BRA,1998,1.7,1795000.0
BRA,2004,1.619047619047619,573000.0
BWA,2000,34.0,8498000.0
CAN,2013,34.0,7160686000.0
CAN,2021,17.0,2160056000.0
CAN,2020,11.333333333333334,1469996000.0
CAN,1996,8.5,1361307000.0
CAN,2011,6.8,1040832000.0
CAN,2019,5.666666666666667,915772000.0
CAN,2005,4.857142857142857,534983000.0
CAN,2017,4.25,238785000.0
CAN,1997,3.7777777777777777,218785000.0
CAN,1995,3.4,140774000.0
CAN,2012,3.090909090909091,43339000.0
CAN,2003,2.8333333333333335,39772000.0
CAN,2022,2.6153846153846154,36000000.0
CAN,1990,2.4285714285714284,19039000.0
CHE,2005,34.0,3146960000.0
CHE,1999,17.0,579775000.0
CHE,2007,11.333333333333334,494010000.0
CHE,1997,8.5,124890000.0
CHL,2023,34.0,1865000000.0
CHL,1997,17.0,332553000.0
CHL,2002,11.333333333333334,325398000.0
CHL,2016,8.5,121936000.0
CHL,1993,6.8,68880000.0
CHL,2008,5.666666666666667,31263000.0
CHL,2001,4.857142857142857,14710000.0
CHL,2012,4.25,3951000.0
CHL,2017,3.7777777777777777,2388000.0
CHN,1998,34.0,56954179000.0
CHN,2016,17.0,38559778000.0
CHN,1996,11.333333333333334,35291169000.0
CHN,2020,8.5,24650695000.0
CHN,2003,6.8,24387553000.0
CHN,2010,5.666666666666667,24387512000.0
CHN,2013,4.857142857142857,20852169000.0
CHN,2012,4.25,19082127000.0
CHN,2021,3.7777777777777777,17994347000.0
CHN,1991,3.4,17285570000.0
CHN,1999,3.090909090909091,15122300000.0
CHN,1994,2.8333333333333335,14885169000.0
CHN,2011,2.6153846153846154,13926499000.0
CHN,1995,2.4285714285714284,12905878000.0
CHN,1993,2.2666666666666666,12333541000.0
CHN,2014,2.125,11348377000.0
CHN,2017,2.0,9753184000.0
CHN,2015,1.8888888888888888,8633315000.0
CHN,2019,1.7894736842105263,7560841000.0
CHN,2007,1.7,6943174000.0
CHN,2005,1.619047619047619,6910216000.0
CHN,2018,1.5454545454545454,5326120000.0
CHN,2022,1.4782608695652173,5000000000.0
CHN,1997,1.4166666666666667,4447892000.0
CHN,2008,1.36,3251380000.0
CHN,2004,1.3076923076923077,3076324000.0
CHN,2002,1.2592592592592593,2650042000.0
CHN,2006,1.2142857142857142,2245086000.0
CHN,2009,1.1724137931034482,1872941000.0
CHN,1990,1.1333333333333333,1798598000.0
CHN,1992,1.096774193548387,832392000.0
CHN,2001,1.0625,679299000.0
CHN,2000,1.0303030303030303,455468000.0
CHN,2023,1.0,95000000.0
CMR,2012,34.0,2549000.0
COG,1998,34.0,106000.0
COL,2011,34.0,3018412000.0
COL,2010,17.0,1342112000.0
COL,2012,11.333333333333334,130016000.0
COL,2020,8.5,39577000.0
COL,2005,6.8,14986000.0
COL,2022,5.666666666666667,11000000.0
COL,2014,4.857142857142857,9890000.0
COL,1997,4.25,5470000.0
COL,2013,3.7777777777777777,2513000.0
COL,2017,3.4,2388000.0
COL,1999,3.090909090909091,5000.0
COM,2012,34.0,6373000.0
CRI,1996,34.0,466457000.0
CRI,2007,17.0,112917000.0
CRI,2005,11.333333333333334,37464000.0
CRI,2008,8.5,29904000.0
CRI,1994,6.8,5923000.0
CRI,1999,5.666666666666667,1757000.0
CRI,2002,4.857142857142857,1627000.0
CUB,2022,34.0,25000000.0
CUB,1992,17.0,5402000.0
CZE,2002,34.0,3904776000.0
CZE,1997,17.0,3372930000.0
CZE,2013,11.333333333333334,1040877000.0
CZE,2010,8.5,255001000.0
CZE,2009,6.8,204618000.0
CZE,2000,5.666666666666667,135960000.0
CZE,1998,4.857142857142857,93358000.0
CZE,1996,4.25,67170000.0
DEU,2021,34.0,43201120000.0
DEU,2002,17.0,18873085000.0
DEU,2013,11.333333333333334,16205764000.0
DEU,2016,8.5,2438717000.0
DEU,1993,6.8,1215526000.0
DEU,1994,5.666666666666667,776925000.0
DEU,1999,4.857142857142857,755465000.0
DEU,1997,4.25,656354000.0
DEU,2005,3.7777777777777777,329682000.0
DEU,1992,3.4,62779000.0
DEU,2009,3.090909090909091,27282000.0
DFR,1991,34.0,120335000.0
DJI,1994,34.0,4184000.0
DOM,2009,34.0,71484000.0
DOM,2023,17.0,17500000.0
DOM,2003,11.333333333333334,3341000.0
DOM,2002,8.5,813000.0
DOM,2013,6.8,128000.0
DZA,2011,34.0,1013510000.0
DZA,2001,17.0,495838000.0
DZA,2005,11.333333333333334,10873000.0
DZA,2002,8.5,2440000.0
DZA,1992,6.8,1877000.0
DZA,2006,5.666666666666667,1742000.0
ECU,2008,34.0,1359273000.0
ECU,1997,17.0,494089000.0
ECU,2023,11.333333333333334,205000000.0
ECU,2022,8.5,53000000.0
ECU,1992,6.8,41713000.0
ECU,2002,5.666666666666667,26032000.0
ECU,2006,4.857142857142857,4065000.0
EGY,1994,34.0,276415000.0
EGY,1997,17.0,1823000.0
ESP,2019,34.0,2928180000.0
ESP,1996,17.0,1075835000.0
ESP,2007,11.333333333333334,564583000.0
ESP,2012,8.5,503492000.0
ESP,2023,6.8,370000000.0
ESP,2018,5.666666666666667,174819000.0
ESP,2021,4.857142857142857,38881000.0
ESP,2004,4.25,22133000.0
ETH,1994,34.0,6910000.0
ETH,1999,17.0,4744000.0
ETH,2013,11.333333333333334,2764000.0
ETH,1995,8.5,960000.0
FJI,2012,34.0,113445000.0
FJI,2009,17.0,58994000.0
FJI,2007,11.333333333333334,42344000.0
FJI,2006,8.5,726000.0
FRA,2016,34.0,2926461000.0
FRA,2002,17.0,1936118000.0
FRA,2023,11.333333333333334,1650000000.0
FRA,1993,8.5,1215526000.0
FRA,2018,6.8,829807000.0
FRA,2001,5.666666666666667,218747000.0
FRA,1994,4.857142857142857,197440000.0
FRA,2021,4.25,35641000.0
GBR,2007,34.0,11923987000.0
GBR,2000,17.0,10027082000.0
GBR,2012,11.333333333333334,2754547000.0
GBR,2013,8.5,1884391000.0
GBR,2015,6.8,1481690000.0
GBR,1998,5.666666666666667,897668000.0
GBR,2014,4.857142857142857,771393000.0
GBR,2009,4.25,660235000.0
GBR,1994,3.7777777777777777,465958000.0
GBR,1997,3.4,452884000.0
GBR,1993,3.090909090909091,378839000.0
GBR,2008,2.8333333333333335,67964000.0
GBR,1999,2.6153846153846154,57415000.0
GEO,1997,34.0,53785000.0
GEO,1995,17.0,4225000.0
GEO,2004,11.333333333333334,3340000.0
GHA,1999,34.0,36895000.0
GHA,1995,17.0,24006000.0
GHA,2015,11.333333333333334,14817000.0
GRC,2003,34.0,954525000.0
GRC,1994,17.0,864193000.0
GRC,1997,11.333333333333334,291713000.0
GRC,2016,8.5,68284000.0
GRC,2020,6.8,33923000.0
GRC,2006,5.666666666666667,8215000.0
GTM,2022,34.0,204000000.0
GTM,2011,17.0,80551000.0
GTM,1999,11.333333333333334,1757000.0
GUY,2005,34.0,696977000.0
GUY,2006,17.0,245341000.0
HKG,1992,34.0,104284000.0
HKG,1994,17.0,73053000.0
HKG,1997,11.333333333333334,18232000.0
HND,1990,34.0,223985000.0
HND,2002,17.0,162699000.0
HND,1996,11.333333333333334,57841000.0
HND,2003,8.5,31818000.0
HND,2006,6.8,11614000.0
HND,1995,5.666666666666667,7682000.0
HND,1999,4.857142857142857,2635000.0
HND,2014,4.25,1731000.0
HRV,2010,34.0,107369000.0
HTI,2023,34.0,420000000.0
HTI,2016,17.0,2439000.0
HUN,2010,34.0,590529000.0
HUN,1999,17.0,515473000.0
HUN,2000,11.333333333333334,93473000.0
HUN,2005,8.5,71931000.0
HUN,2002,6.8,48810000.0
HUN,1997,5.666666666666667,18232000.0
HUN,2001,4.857142857142857,8264000.0
IDN,2013,34.0,3776321000.0
IDN,2007,17.0,1370524000.0
IDN,2014,11.333333333333334,1147200000.0
IDN,1996,8.5,1048836000.0
IDN,2002,6.8,572050000.0
IDN,2015,5.666666666666667,290164000.0
IDN,2016,4.857142857142857,131692000.0
IDN,1995,4.25,96794000.0
IDN,2004,3.7777777777777777,92964000.0
IDN,2022,3.4,74000000.0
IDN,2000,3.090909090909091,57783000.0
IDN,2021,2.8333333333333335,54001000.0
IDN,1994,2.6153846153846154,45894000.0
IDN,2006,2.4285714285714284,39342000.0
IDN,1993,2.2666666666666666,39101000.0
IDN,1991,2.125,31803000.0
IDN,2017,2.0,22685000.0
IDN,2020,1.8888888888888888,22616000.0
IDN,2019,1.7894736842105263,17171000.0
IDN,1990,1.7,10751000.0
IDN,2008,1.619047619047619,2356000.0
IND,2014,34.0,20354143000.0
IND,1993,17.0,15194080000.0
IND,2020,11.333333333333334,13015115000.0
IND,2019,8.5,11447148000.0
IND,2005,6.8,9276041000.0
IND,2006,5.666666666666667,4921334000.0
IND,2004,4.857142857142857,4301120000.0
IND,2022,4.25,4200000000.0
IND,2015,3.7777777777777777,3462216000.0
IND,2021,3.4,3456090000.0
IND,2009,3.090909090909091,3320275000.0
IND,2010,2.8333333333333335,2884198000.0
IND,2017,2.6153846153846154,2169365000.0
IND,2011,2.4285714285714284,2155823000.0
IND,2013,2.2666666666666666,1711028000.0
IND,2016,2.125,1522979000.0
IND,2000,2.0,1248287000.0
IND,1998,1.8888888888888888,949015000.0
IND,1992,1.7894736842105263,644369000.0
IND,2001,1.7,555214000.0
IND,1991,1.619047619047619,554403000.0
IND,1995,1.5454545454545454,499819000.0
IND,1997,1.4782608695652173,409857000.0
IND,1996,1.4166666666666667,361934000.0
IND,1994,1.36,345519000.0
IND,2012,1.3076923076923077,311018000.0
IND,2003,1.2592592592592593,268858000.0
IND,2007,1.2142857142857142,142770000.0
IND,2002,1.1724137931034482,82606000.0
IND,2008,1.1333333333333333,29904000.0
IND,1999,1.096774193548387,4217000.0
IND,2018,1.0625,2914000.0
IRL,2011,34.0,422838000.0
IRN,1992,34.0,7236038000.0
