country,year,rp,impact
ARG,1998,34.0,1974870000.0
ARG,2000,17.0,509852000.0
ARG,1993,11.333333333333334,186381000.0
ARG,2020,8.5,11308000.0
ARM,1997,34.0,14586000.0
ARM,1998,17.0,215000.0
AUS,2022,34.0,8446000000.0
AUS,2021,17.0,2376062000.0
AUS,2020,11.333333333333334,1356919000.0
AUS,2016,8.5,30484000.0
AUS,2001,6.8,19834000.0
AUS,2018,5.666666666666667,13286000.0
AUT,1995,34.0,384000.0
AZE,1997,34.0,45580000.0
AZE,1995,17.0,7682000.0
BDI,2015,34.0,16052000.0
BEL,2021,34.0,2160056000.0
BEN,1995,34.0,5954000.0
BEN,1999,17.0,378000.0
BGD,2017,34.0,596963000.0
BGD,2020,17.0,565383000.0
BGD,2022,11.333333333333334,462500000.0
BGD,1995,8.5,384104000.0
BGD,2019,6.8,85854000.0
BGR,2002,34.0,1627000.0
BLZ,1990,34.0,4928000.0
BLZ,1995,17.0,960000.0
BOL,2020,34.0,11308000.0
BRA,2022,34.0,1141000000.0
BRA,2021,17.0,572415000.0
BRA,2020,11.333333333333334,565382000.0
BRA,2016,8.5,121936000.0
BRA,2018,6.8,61770000.0
BRA,1998,5.666666666666667,1795000.0
BRA,2023,4.857142857142857,0.0
CAN,2021,34.0,2160056000.0
CAN,2019,17.0,915772000.0
CAN,2017,11.333333333333334,238785000.0
CAN,1995,8.5,140774000.0
CAN,2022,6.8,36000000.0
CHE,1997,34.0,124890000.0
CHL,2001,34.0,14710000.0
CHL,2017,17.0,2388000.0
CHL,2023,11.333333333333334,0.0
CHN,2016,34.0,37872060000.0
CHN,2020,17.0,24650695000.0
CHN,2021,11.333333333333334,17994347000.0
CHN,1993,8.5,12278842000.0
CHN,2017,6.8,9514399000.0
CHN,2019,5.666666666666667,7200256000.0
CHN,2018,4.857142857142857,5002122000.0
CHN,2022,4.25,5000000000.0
CHN,2015,3.7777777777777777,3447398000.0
CHN,1998,3.4,1301080000.0
CHN,2002,3.090909090909091,959925000.0
CHN,1999,2.8333333333333335,891448000.0
CHN,2014,2.6153846153846154,597088000.0
CHN,2000,2.4285714285714284,292315000.0
CHN,2001,2.2666666666666666,39667000.0
CHN,1991,2.125,30342000.0
CHN,2023,2.0,0.0
COL,2020,34.0,39577000.0
COL,2022,17.0,11000000.0
COL,1999,11.333333333333334,5000.0
CRI,1999,34.0,1757000.0
CUB,2022,34.0,25000000.0
DEU,2021,34.0,43201120000.0
DEU,2002,17.0,18873085000.0
DEU,2016,11.333333333333334,2438717000.0
DEU,1992,8.5,62779000.0
DOM,2002,34.0,813000.0
DOM,2023,17.0,0.0
DZA,2005,34.0,10873000.0
ECU,1997,34.0,494089000.0
ECU,2022,17.0,53000000.0
ECU,2002,11.333333333333334,4881000.0
ECU,2023,8.5,0.0
EGY,1997,34.0,1823000.0
ESP,2019,34.0,2861787000.0
ESP,2018,17.0,174819000.0
ESP,2021,11.333333333333334,38881000.0
ESP,2023,8.5,0.0
FRA,2016,34.0,2926461000.0
FRA,2018,17.0,829807000.0
FRA,1994,11.333333333333334,187568000.0
FRA,2021,8.5,35641000.0
FRA,2023,6.8,0.0
GBR,1997,34.0,273481000.0
GBR,1993,17.0,74957000.0
GHA,2015,34.0,14817000.0
GRC,1997,34.0,291713000.0
GRC,2016,17.0,68284000.0
GRC,2020,11.333333333333334,33923000.0
GTM,2022,34.0,204000000.0
GTM,1999,17.0,1757000.0
HND,1996,34.0,57841000.0
HND,1995,17.0,7682000.0
HND,1999,11.333333333333334,2635000.0
HTI,2023,34.0,0.0
IDN,2016,34.0,131692000.0
IDN,2022,17.0,74000000.0
IDN,2021,11.333333333333334,54001000.0
IDN,2020,8.5,22616000.0
IDN,2019,6.8,17171000.0
IDN,1994,5.666666666666667,2962000.0
IND,1993,34.0,14181141000.0
IND,2020,17.0,13015115000.0
IND,2019,11.333333333333334,11447148000.0
IND,2022,8.5,4200000000.0
IND,2021,6.8,3456090000.0
IND,2015,5.666666666666667,2716432000.0
IND,2017,4.857142857142857,2169365000.0
IND,2016,4.25,1522979000.0
IND,1998,3.7777777777777777,949015000.0
IND,1994,3.4,345519000.0
IND,2001,3.090909090909091,213211000.0
IND,1992,2.8333333333333335,143912000.0
IND,1996,2.6153846153846154,32839000.0
IND,1999,2.4285714285714284,4217000.0
IND,2018,2.2666666666666666,2914000.0
IND,2008,2.125,2719000.0
IRN,2019,34.0,2953364000.0
IRN,2020,17.0,2666346000.0
IRN,1993,11.333333333333334,458456000.0
IRN,2014,8.5,60574000.0
IRQ,2020,34.0,113077000.0
ISR,1997,34.0,72928000.0
