country,year,rp,impact
AFG,1991,32.0,128931000.0
AFG,2009,16.0,27282000.0
AGO,2000,32.0,16995000.0
ALB,2002,32.0,28472000.0
ALB,2004,16.0,268000.0
ARG,1993,32.0,2025877000.0
ARG,2003,16.0,1635754000.0
ARG,2013,10.666666666666666,1633139000.0
ARG,2001,8.0,1239596000.0
ARG,2016,6.4,1221798000.0
ARG,1992,5.333333333333333,542275000.0
ARG,2014,4.571428571428571,76645000.0
ARG,2007,4.0,56459000.0
AUS,2010,32.0,9943706000.0
AUS,2008,16.0,2806899000.0
AUS,2019,10.666666666666666,2289430000.0
AUS,2012,8.0,749502000.0
AUS,2000,6.4,450369000.0
AUS,1990,5.333333333333333,437890000.0
AUS,1998,4.571428571428571,399822000.0
AUS,1996,4.0,383054000.0
AUS,2001,3.5555555555555554,330559000.0
AUS,2009,3.2,204618000.0
AUS,2005,2.909090909090909,86916000.0
AUS,2004,2.6666666666666665,81344000.0
AUS,2003,2.4615384615384617,3182000.0
AUT,2002,32.0,3904776000.0
AUT,2013,16.0,1256261000.0
AUT,2005,10.666666666666666,1048987000.0
AUT,1997,8.0,319061000.0
AUT,2009,6.4,272825000.0
AUT,1991,5.333333333333333,176205000.0
AUT,1999,4.571428571428571,56221000.0
AZE,2003,32.0,87498000.0
AZE,1995,16.0,12867000.0
BEL,2010,32.0,319619000.0
BEL,1993,16.0,34440000.0
BEL,1998,10.666666666666666,17953000.0
BFA,2009,32.0,204618000.0
BFA,2015,16.0,38277000.0
BFA,2010,10.666666666666666,236000.0
BGD,1998,32.0,7719947000.0
BGD,2004,16.0,3408669000.0
BGD,1995,10.666666666666666,336667000.0
BGD,1991,8.0,322327000.0
BGD,2014,6.4,197793000.0
BGD,2016,5.333333333333333,182904000.0
BGD,2007,4.571428571428571,160906000.0
BGD,2017,4.0,152823000.0
BGD,2015,3.5555555555555554,49390000.0
BGD,1996,3.2,18658000.0
BGD,1990,2.909090909090909,13439000.0
BGR,2005,32.0,684839000.0
BGR,2014,16.0,478412000.0
BGR,2015,10.666666666666666,7162000.0
BGR,2012,8.0,5609000.0
BHS,2013,32.0,56532000.0
BIH,2014,32.0,539703000.0
BIH,2010,16.0,116764000.0
BLR,1993,32.0,202588000.0
BLR,1999,16.0,7695000.0
BLZ,2008,32.0,13181000.0
BOL,2007,32.0,832759000.0
BOL,1992,16.0,417134000.0
BOL,2001,10.666666666666666,199988000.0
BOL,2002,8.0,162699000.0
BOL,1997,6.4,127624000.0
BOL,2006,5.333333333333333,50810000.0
BOL,2011,4.571428571428571,26021000.0
BOL,2013,4.0,3141000.0
BOL,2003,3.5555555555555554,1591000.0
BRA,2008,32.0,1508793000.0
BRA,2011,16.0,1303642000.0
BRA,2010,10.666666666666666,1076373000.0
BRA,2009,8.0,818474000.0
BRA,2013,6.4,685291000.0
BRA,2003,5.333333333333333,482035000.0
BRA,2014,4.571428571428571,247241000.0
BRA,2012,4.0,217967000.0
BRA,2017,3.5555555555555554,119393000.0
BRA,1992,3.2,53810000.0
BRA,1995,2.909090909090909,5762000.0
BRA,1991,2.6666666666666665,4298000.0
BRA,2015,2.4615384615384617,2469000.0
BRA,2004,2.2857142857142856,573000.0
BWA,2000,32.0,8498000.0
CAN,2013,32.0,7160686000.0
CAN,2020,16.0,1469996000.0
CAN,1996,10.666666666666666,1361307000.0
CAN,2011,8.0,1040832000.0
CAN,2005,6.4,534983000.0
CAN,1997,5.333333333333333,218785000.0
CAN,2012,4.571428571428571,43339000.0
CAN,2003,4.0,39772000.0
CAN,1990,3.5555555555555554,19039000.0
CHE,2005,32.0,3146960000.0
CHE,1999,16.0,579775000.0
CHE,2007,10.666666666666666,494010000.0
CHL,1997,32.0,332553000.0
CHL,2002,16.0,325398000.0
CHL,2016,10.666666666666666,121936000.0
CHL,1993,8.0,68880000.0
CHL,2008,6.4,31263000.0
CHL,2012,5.333333333333333,3951000.0
CHN,1998,32.0,55653099000.0
CHN,1996,16.0,35291169000.0
CHN,2003,10.666666666666666,24387553000.0
CHN,2010,8.0,24387512000.0
CHN,2013,6.4,20852169000.0
CHN,2012,5.333333333333333,19082127000.0
CHN,1991,4.571428571428571,17255228000.0
CHN,1994,4.0,14885169000.0
CHN,1999,3.5555555555555554,14230852000.0
CHN,2011,3.2,13926499000.0
CHN,1995,2.909090909090909,12905878000.0
CHN,2014,2.6666666666666665,10751289000.0
CHN,2007,2.4615384615384617,6943174000.0
CHN,2005,2.2857142857142856,6910216000.0
CHN,2015,2.1333333333333333,5185917000.0
CHN,1997,2.0,4447892000.0
CHN,2008,1.8823529411764706,3251380000.0
CHN,2004,1.7777777777777777,3076324000.0
