country,cal_region2,event_id,impact,rp
ATG,NA1,1989254N13340,232560060.9,19.0
ATG,NA1,2017242N16333,211176356.8,12.666666666666666
ATG,NA1,2010236N12341,13945942.61,9.5
AUS,OC,2011028S13180,2626722487.0,19.0
AUS,OC,2006074S13158,2318707938.0,12.666666666666666
AUS,OC,1999040S15147,1131545100.0,9.5
AUS,OC,1990350S11165,733330742.5,7.6
AUS,OC,2015047S15152,592917356.0,6.333333333333333
AUS,OC,1986027S13145,563514152.7,5.428571428571429
AUS,OC,1989089S11158,461534104.7,4.75
AUS,OC,2000056S17152,317674987.2,4.222222222222222
AUS,OC,2007058S12135,171950641.6,3.8
AUS,OC,1996095S09133,170904206.6,3.4545454545454546
AUS,OC,2015045S12145,84702479.43,3.1666666666666665
AUS,OC,1982095S11138,51906694.26,2.923076923076923
AUS,OC,2006006S11129,4625625.837,2.7142857142857144
BGD,NI,1991113N10091,9940604678.0,38.0
BGD,NI,2007314N10093,4994688046.0,19.0
BGD,NI,1994117N07096,639962654.8,12.666666666666666
BGD,NI,2016138N10081,468492129.6,9.5
BHS,NA1,2004238N11325,1210044074.0,38.0
BHS,NA1,1999251N15314,641705937.2,19.0
BHS,NA1,2001303N13276,395198026.4,12.666666666666666
BHS,NA1,2015270N27291,83627197.41,9.5
BHS,NA1,2011233N15301,43522583.4,7.6
BHS,NA1,2017242N16333,1801876.321,6.333333333333333
BHS,NA1,1995212N22287,1278191.893,5.428571428571429
BLZ,NA1,2001278N12302,485443358.1,38.0
BLZ,NA1,2007225N12331,19476548.08,19.0
BMU,NA1,2003240N15329,399403562.6,38.0
BMU,NA1,1987263N10309,214952184.2,19.0
CAN,NA2,2003268N28298,221788181.9,19.0
CAN,NA2,1996248N15319,286258.6963,12.666666666666666
CHN,WP3,1994224N20152,21361334294.0,38.0
CHN,WP3,1990235N10152,19985350911.0,19.0
CHN,WP3,1986179N11175,13244203233.0,12.666666666666666
CHN,WP3,1993224N07153,10227548827.0,9.5
CHN,WP3,2006216N07151,9560135983.0,7.6
CHN,WP3,2005237N14148,8712512761.0,6.333333333333333
CHN,WP3,2005248N08142,8024682806.0,5.428571428571429
CHN,WP3,2013272N10135,7310320819.0,4.75
CHN,WP3,1997210N15120,6319265945.0,4.222222222222222
CHN,WP3,1993253N06150,6214734972.0,3.8
CHN,WP3,2005262N13127,4768954354.0,3.4545454545454546
CHN,WP3,1987245N15133,4608092264.0,3.1666666666666665
CHN,WP3,1990245N16149,4473465175.0,2.923076923076923
CHN,WP3,2014190N08154,4232973000.0,2.7142857142857144
CHN,WP3,2015273N12130,3978968885.0,2.533333333333333
CHN,WP3,2006209N13130,3427937205.0,2.375
CHN,WP3,2007274N18131,3180516618.0,2.235294117647059
CHN,WP3,2017232N19130,2997973553.0,2.111111111111111
CHN,WP3,2014254N10142,2900000000.0,2.0
CHN,WP3,1999241N12133,2662759128.0,1.9
CHN,WP3,2007223N19136,2627998249.0,1.8095238095238095
CHN,WP3,1990202N13130,2411023438.0,1.7272727272727273
CHN,WP3,1999275N16135,2314942804.0,1.6521739130434783
CHN,WP3,2013220N12137,2313116438.0,1.5833333333333333
CHN,WP3,2016253N13144,2154362604.0,1.52
CHN,WP3,2007257N16134,1882716826.0,1.4615384615384615
CHN,WP3,2008262N16142,1878444430.0,1.4074074074074074
CHN,WP3,2012215N23146,1836746833.0,1.3571428571428572
CHN,WP3,2006128N09138,1809189080.0,1.3103448275862069
CHN,WP3,1994186N09139,1788779559.0,1.2666666666666666
CHN,WP3,2003240N20139,1521574408.0,1.2258064516129032
CHN,WP3,2006198N08152,1397836616.0,1.1875
CHN,WP3,2003316N11141,1243385148.0,1.1515151515151516
CHN,WP3,1995236N10134,1241534250.0,1.1176470588235294
