region,country,year,rp,impact
NA1,AIA,2017,44.0,238785000.0
NA1,AIA,1999,22.0,88000.0
NA1,ATG,1995,44.0,672181000.0
NA1,ATG,2017,22.0,298482000.0
NA1,ATG,1989,14.666666666666666,188860000.0
NA1,ATG,1998,11.0,179534000.0
NA1,ATG,2010,8.8,16911000.0
NA1,BHS,2019,44.0,3892030000.0
NA1,BHS,2004,22.0,2401562000.0
NA1,BHS,1999,14.666666666666666,790603000.0
NA1,BHS,2016,11.0,731615000.0
NA1,BHS,1992,8.8,521419000.0
NA1,BHS,2001,7.333333333333333,495838000.0
NA1,BHS,2015,6.285714285714286,111127000.0
NA1,BHS,2011,5.5,52042000.0
NA1,BHS,2017,4.888888888888889,2388000.0
NA1,BHS,1995,4.4,768000.0
NA1,BLZ,2000,44.0,471545000.0
NA1,BLZ,2001,22.0,413199000.0
NA1,BLZ,2022,14.666666666666666,100000000.0
NA1,BLZ,2007,11.0,20956000.0
NA1,BLZ,1998,8.8,90000.0
NA1,BMU,2003,44.0,477263000.0
NA1,BMU,1987,22.0,128781000.0
NA1,BRB,1987,44.0,257562000.0
NA1,BRB,2004,22.0,7747000.0
NA1,BRB,1980,14.666666666666666,5327000.0
NA1,BRB,2002,11.0,325000.0
NA1,COL,2020,44.0,141346000.0
NA1,COL,1988,22.0,123735000.0
NA1,COL,1999,14.666666666666666,878000.0
NA1,CPV,1982,44.0,9098000.0
NA1,CPV,2015,22.0,1358000.0
NA1,CRI,1996,44.0,373165000.0
NA1,CRI,2017,22.0,220876000.0
NA1,CRI,1998,14.666666666666666,163537000.0
NA1,CRI,1988,11.0,148482000.0
NA1,CRI,2005,8.8,29971000.0
NA1,CRI,1995,7.333333333333333,12099000.0
NA1,CUB,2008,44.0,4855322000.0
NA1,CUB,1998,22.0,3590673000.0
NA1,CUB,2016,14.666666666666666,3170332000.0
NA1,CUB,2005,11.0,3146961000.0
NA1,CUB,2004,8.8,1859274000.0
NA1,CUB,2007,7.333333333333333,705728000.0
