region,year,rp,impact
NA1,2017,44.0,91791451000.0
NA1,1998,22.0,22488549000.0
NA1,2005,14.666666666666666,17344999000.0
NA1,2004,11.0,13059197000.0
NA1,2023,8.8,12705000000.0
NA1,2010,7.333333333333333,9190916000.0
NA1,1995,6.285714285714286,8913890000.0
NA1,2013,5.5,7163199000.0
NA1,2016,4.888888888888889,6401632000.0
NA1,2008,4.4,5726884000.0
NA1,2019,4.0,4330456000.0
NA1,1988,3.6666666666666665,4305461000.0
NA1,1993,3.3846153846153846,3392331000.0
NA1,2007,3.142857142857143,3167486000.0
NA1,2014,2.933333333333333,3141819000.0
NA1,2022,2.75,2873000000.0
NA1,2020,2.588235294117647,2511204000.0
NA1,1980,2.4444444444444446,2450702000.0
NA1,2001,2.3157894736842106,1938096000.0
NA1,1982,2.2,1902712000.0
NA1,2015,2.0952380952380953,1724824000.0
NA1,2012,2.0,1472926000.0
NA1,2002,1.9130434782608696,1465642000.0
NA1,1999,1.8333333333333333,1453742000.0
NA1,1996,1.76,1362484000.0
NA1,2009,1.6923076923076923,1335476000.0
NA1,1989,1.6296296296296295,1080753000.0
NA1,2021,1.5714285714285714,911543000.0
NA1,2011,1.5172413793103448,868705000.0
NA1,1997,1.4666666666666666,838309000.0
NA1,2003,1.4193548387096775,636351000.0
NA1,2018,1.375,633783000.0
NA1,1992,1.3333333333333333,527676000.0
NA1,2000,1.2941176470588236,474945000.0
NA1,1987,1.2571428571428571,461036000.0
NA1,1994,1.2222222222222223,300045000.0
NA1,1990,1.1891891891891893,203154000.0
NA1,1981,1.1578947368421053,128746000.0
NA1,1985,1.1282051282051282,14162000.0
NA1,1984,1.1,5634000.0
NA1,2006,1.0731707317073171,3920000.0
NA2,2005,44.0,236066989000.0
NA2,2017,22.0,181775300000.0
NA2,2022,14.666666666666666,101000000000.0
NA2,2004,11.0,82214761000.0
NA2,2021,8.8,74575932000.0
NA2,2012,7.333333333333333,66550151000.0
NA2,1992,6.285714285714286,65698733000.0
NA2,2008,5.5,52386376000.0
NA2,2020,4.888888888888889,37795848000.0
NA2,2018,4.4,35109485000.0
NA2,1989,4.0,17705657000.0
NA2,2016,3.6666666666666665,12925201000.0
NA2,1999,3.3846153846153846,12706746000.0
NA2,1995,3.142857142857143,11331054000.0
NA2,2011,2.933333333333333,10473371000.0
NA2,2001,2.75,9916769000.0
NA2,1998,2.588235294117647,9874351000.0
NA2,1985,2.4444444444444446,9522392000.0
NA2,1983,2.3157894736842106,8814905000.0
NA2,2019,2.2,6524875000.0
NA2,1996,2.0952380952380953,6343996000.0
NA2,2003,2.0,5615791000.0
NA2,2002,1.9130434782608696,3742077000.0
NA2,2023,1.8333333333333333,3500000000.0
NA2,1980,1.76,3231662000.0
NA2,1991,1.6923076923076923,3223268000.0
NA2,2015,1.6296296296296295,2469484000.0
NA2,1994,1.5714285714285714,1480797000.0
NA2,2009,1.5172413793103448,818474000.0
NA2,1982,1.4666666666666666,697519000.0
NA2,2000,1.4193548387096775,372192000.0
NA2,2010,1.375,134211000.0
NA2,2014,1.3333333333333333,81590000.0
NA2,2006,1.2941176470588236,47704000.0
NI,2020,44.0,18567175000.0
NI,2007,22.0,11037591000.0
NI,2014,14.666666666666666,8653447000.0
NI,2008,11.0,5437091000.0
NI,1999,8.8,5272681000.0
NI,2021,7.333333333333333,4752123000.0
NI,1991,6.285714285714286,3824945000.0
NI,1996,5.5,2799299000.0
NI,2023,4.888888888888889,2616000000.0
NI,1982,4.4,2260630000.0
NI,2018,4.0,2092001000.0
NI,2019,3.6666666666666665,2078556000.0
NI,2016,3.3846153846153846,1950974000.0
NI,1983,3.142857142857143,1663079000.0
NI,1990,2.933333333333333,1551767000.0
NI,2010,2.75,1525981000.0
NI,2013,2.588235294117647,1127458000.0
NI,1998,2.4444444444444446,842013000.0
NI,2009,2.3157894736842106,777550000.0
NI,1986,2.2,728759000.0
NI,2011,2.0952380952380953,488703000.0
NI,2017,2.0,413099000.0
NI,1994,1.9130434782608696,309190000.0
NI,2015,1.8333333333333333,296338000.0
NI,1993,1.76,202588000.0
NI,1985,1.6923076923076923,136034000.0
NI,1984,1.6296296296296295,98600000.0
NI,1995,1.5714285714285714,92761000.0
NI,2002,1.5172413793103448,82027000.0
NI,2012,1.4666666666666666,72656000.0
NI,2003,1.4193548387096775,44545000.0
NI,1988,1.375,32171000.0
NI,2004,1.3333333333333333,1066000.0
OC,2023,44.0,7100000000.0
OC,2011,22.0,3256503000.0
OC,2017,14.666666666666666,3223601000.0
OC,2013,11.0,2512521000.0
OC,2006,8.8,1716448000.0
OC,2015,7.333333333333333,1411803000.0
OC,1999,6.285714285714286,884597000.0
OC,1990,5.5,829864000.0
OC,2021,4.888888888888889,750619000.0
OC,2016,4.4,731615000.0
OC,1985,4.0,677450000.0
OC,1992,3.6666666666666665,629039000.0
OC,1991,3.3846153846153846,597379000.0
OC,1997,3.142857142857143,413868000.0
OC,1989,2.933333333333333,303147000.0
OC,2004,2.75,302132000.0
OC,1986,2.588235294117647,293700000.0
OC,1983,2.4444444444444446,258132000.0
OC,2000,2.3157894736842106,254925000.0
OC,1993,2.2,217782000.0
OC,2002,2.0952380952380953,212321000.0
OC,1995,2.0,188211000.0
OC,2012,1.9130434782608696,180237000.0
OC,1987,1.8333333333333333,144609000.0
OC,2007,1.76,142066000.0
OC,2020,1.6923076923076923,141481000.0
OC,2003,1.6296296296296295,111361000.0
OC,1996,1.5714285714285714,87134000.0
OC,1982,1.5172413793103448,85109000.0
OC,2001,1.4666666666666666,84788000.0
OC,2018,1.4193548387096775,69928000.0
OC,2010,1.375,67678000.0
OC,1988,1.3333333333333333,50526000.0
OC,2014,1.2941176470588236,40794000.0
OC,2008,1.2571428571428571,40778000.0
OC,2022,1.2222222222222223,25000000.0
OC,2009,1.1891891891891893,18143000.0
OC,1980,1.1578947368421053,8012000.0
OC,1981,1.1282051282051282,3863000.0
ROW,2000,44.0,10197117000.0
ROW,2017,22.0,4895098000.0
ROW,1984,14.666666666666666,2817149000.0
ROW,2023,11.0,705000000.0
ROW,1996,8.8,562566000.0
ROW,2004,7.333333333333333,551584000.0
ROW,1980,6.285714285714286,237936000.0
ROW,1993,5.5,228924000.0
ROW,2018,4.888888888888889,140019000.0
ROW,1997,4.4,122173000.0
ROW,1994,4.0,118464000.0
ROW,1989,3.6666666666666665,118038000.0
ROW,2014,3.3846153846153846,105078000.0
ROW,2002,3.142857142857143,82163000.0
ROW,2019,2.933333333333333,27473000.0
ROW,2013,2.75,11683000.0
ROW,1987,2.588235294117647,5151000.0
ROW,1992,2.4444444444444446,3337000.0
