year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
1990,1990-0722-AUT,AUT,Storm (General),268782000.0,1990-0722
1990,1990-0723-AUT,AUT,Storm (General),268782000.0,1990-0723
1990,1990-0721-AUT,AUT,Storm (General),22398000.0,1990-0721
1994,1994-0015-AUT,AUT,Storm (General),3949000.0,1994-0015
2000,2000-0311-AUT,AUT,Storm (General),33990000.0,2000-0311
2002,2002-0675-AUT,AUT,Extra-tropical storm,8135000.0,2002-0675
2007,2007-0019-AUT,AUT,Extra-tropical storm,564583000.0,2007-0019
2008,2008-0082-AUT,AUT,Extra-tropical storm,679636000.0,2008-0082
1990,1990-0717-BEL,BEL,Storm (General),783947000.0,1990-0717
1990,1990-0722-BEL,BEL,Storm (General),537564000.0,1990-0722
1990,1990-0718-BEL,BEL,Storm (General),403173000.0,1990-0718
1990,1990-0723-BEL,BEL,Storm (General),201586000.0,1990-0723
1990,1990-0719-BEL,BEL,Storm (General),134391000.0,1990-0719
1990,1990-0721-BEL,BEL,Storm (General),134391000.0,1990-0721
1995,1995-0020-BEL,BEL,Storm (General),192052000.0,1995-0020
1998,1998-0436-BEL,BEL,Extra-tropical storm,898000.0,1998-0436
1999,1999-0571-BEL,BEL,Extra-tropical storm,87845000.0,1999-0571
2002,2002-0672-BEL,BEL,Extra-tropical storm,8135000.0,2002-0672
2007,2007-0019-BEL,BEL,Extra-tropical storm,635155000.0,2007-0019
2010,2010-0088-BEL,BEL,Extra-tropical storm,214738000.0,2010-0088
1997,1997-0200-BLR,BLR,Tropical cyclone,60166000.0,1997-0200
2007,2007-0019-BLR,BLR,Extra-tropical storm,14115000.0,2007-0019
1990,1990-0721-CHE,CHE,Storm (General),223985000.0,1990-0721
1990,1990-0722-CHE,CHE,Storm (General),201586000.0,1990-0722
1990,1990-0723-CHE,CHE,Storm (General),201586000.0,1990-0723
1993,1993-0211-CHE,CHE,Storm (General),850868000.0,1993-0211
1994,1994-0015-CHE,CHE,Storm (General),9872000.0,1994-0015
1998,1998-0436-CHE,CHE,Extra-tropical storm,1795000.0,1998-0436
1999,1999-0571-CHE,CHE,Extra-tropical storm,2635343000.0,1999-0571
2003,2003-0003-CHE,CHE,Extra-tropical storm,7954000.0,2003-0003
2007,2007-0019-CHE,CHE,Extra-tropical storm,141146000.0,2007-0019
2010,2010-0088-CHE,CHE,Extra-tropical storm,18790000.0,2010-0088
2002,2002-0678-CZE,CZE,Extra-tropical storm,32540000.0,2002-0678
2007,2007-0019-CZE,CZE,Extra-tropical storm,211718000.0,2007-0019
2008,2008-0082-CZE,CZE,Extra-tropical storm,67964000.0,2008-0082
1990,1990-0717-DEU,DEU,Storm (General),2687818000.0,1990-0717
1990,1990-0722-DEU,DEU,Storm (General),2687818000.0,1990-0722
1990,1990-0723-DEU,DEU,Storm (General),2687818000.0,1990-0723
1990,1990-0718-DEU,DEU,Storm (General),1343909000.0,1990-0718
