country,year,rp,impact
AUT,2008,34.0,679636000.0
AUT,2007,17.0,564583000.0
AUT,1990,11.333333333333334,559962000.0
AUT,2000,8.5,33990000.0
AUT,2002,6.8,8135000.0
AUT,1994,5.666666666666667,3949000.0
BEL,1990,34.0,2195052000.0
BEL,2007,17.0,635155000.0
BEL,2010,11.333333333333334,214738000.0
BEL,1995,8.5,192052000.0
BEL,1999,6.8,87845000.0
BEL,2002,5.666666666666667,8135000.0
BEL,1998,4.857142857142857,898000.0
BLR,1997,34.0,60166000.0
BLR,2007,17.0,14115000.0
CHE,1999,34.0,2635343000.0
CHE,1993,17.0,850868000.0
CHE,1990,11.333333333333334,627157000.0
CHE,2007,8.5,141146000.0
CHE,2010,6.8,18790000.0
CHE,1994,5.666666666666667,9872000.0
CHE,2003,4.857142857142857,7954000.0
CHE,1998,4.25,1795000.0
CZE,2007,34.0,211718000.0
CZE,2008,17.0,67964000.0
CZE,2002,11.333333333333334,32540000.0
DEU,1990,34.0,9944927000.0
DEU,2007,17.0,7763012000.0
DEU,2002,11.333333333333334,3335330000.0
DEU,1999,8.5,3074567000.0
DEU,2008,6.8,1631127000.0
DEU,2010,5.666666666666667,1342112000.0
DEU,2022,4.857142857142857,1023156000.0
DEU,1994,4.25,789758000.0
DEU,1993,3.7777777777777777,769833000.0
DEU,2018,3.4,685844000.0
DEU,1995,3.090909090909091,614566000.0
DEU,2003,2.8333333333333335,477263000.0
DEU,2005,2.6153846153846154,404609000.0
DEU,1998,2.4285714285714284,269300000.0
DEU,2004,2.2666666666666666,201421000.0
DEU,1991,2.125,10744000.0
DEU,1996,2.0,933000.0
DNK,1999,34.0,4576605000.0
DNK,2005,17.0,1948118000.0
DNK,1990,11.333333333333334,425571000.0
DNK,2007,8.5,141146000.0
ESP,2009,34.0,2591834000.0
ESP,2010,17.0,456318000.0
ESP,2020,11.333333333333334,356191000.0
ESP,1999,8.5,175690000.0
ESP,2001,6.8,119001000.0
ESP,1997,5.666666666666667,9116000.0
ESP,1998,4.857142857142857,1795000.0
EST,2005,34.0,194812000.0
FIN,1990,34.0,22398000.0
FRA,1999,34.0,21082744000.0
FRA,2010,17.0,5677133000.0
FRA,2009,11.333333333333334,4365193000.0
FRA,1990,8.5,4278111000.0
FRA,1995,6.8,1344362000.0
FRA,2020,5.666666666666667,1093451000.0
FRA,1993,4.857142857142857,1012939000.0
FRA,2017,4.25,656660000.0
FRA,2007,3.7777777777777777,352864000.0
FRA,1998,3.4,269300000.0
FRA,2019,3.090909090909091,114471000.0
FRA,2023,2.8333333333333335,40000000.0
FRA,2002,2.6153846153846154,1627000.0
FRA,2003,2.4285714285714284,80000.0
FRA,1996,2.2666666666666666,19000.0
GBR,1990,34.0,10728874000.0
GBR,1998,17.0,2451352000.0
GBR,1991,11.333333333333334,1933961000.0
GBR,2007,8.5,1693748000.0
GBR,2015,6.8,1481690000.0
GBR,2005,5.666666666666667,1048987000.0
GBR,2002,4.857142857142857,650877000.0
GBR,1996,4.25,559748000.0
GBR,2022,3.7777777777777777,491342000.0
GBR,1999,3.4,177447000.0
GBR,2014,3.090909090909091,123621000.0
GBR,2010,2.8333333333333335,671000.0
GRC,2004,34.0,526794000.0
HUN,2006,34.0,14517000.0
IRL,1990,34.0,246383000.0
IRL,1999,17.0,175690000.0
IRL,2000,11.333333333333334,169951000.0
IRL,1991,8.5,8595000.0
IRL,1996,6.8,1866000.0
IRL,1998,5.666666666666667,90000.0
ITA,2018,34.0,1282006000.0
ITA,1993,17.0,1266173000.0
ITA,2010,11.333333333333334,1170321000.0
ITA,1990,8.5,44797000.0
LTU,2005,34.0,44957000.0
LTU,1993,17.0,9319000.0
LTU,1999,11.333333333333334,878000.0
LUX,1990,34.0,828742000.0
LUX,2010,17.0,41605000.0
LUX,1995,11.333333333333334,19205000.0
LVA,2005,34.0,487030000.0
LVA,1999,17.0,878000.0
NLD,1990,34.0,3919735000.0
NLD,1995,17.0,2266211000.0
NLD,2007,11.333333333333334,776301000.0
NLD,2022,8.5,568420000.0
NLD,2002,6.8,488097000.0
NLD,2018,5.666666666666667,128213000.0
NLD,2010,4.857142857142857,37579000.0
NLD,2013,4.25,12563000.0
NLD,1994,3.7777777777777777,3949000.0
NLD,1998,3.4,180000.0
NOR,1990,34.0,291180000.0
NOR,2005,17.0,194812000.0
NOR,1993,11.333333333333334,6078000.0
POL,2007,34.0,141146000.0
POL,1990,17.0,111992000.0
POL,2008,11.333333333333334,67964000.0
POL,1999,8.5,17569000.0
POL,1994,6.8,1974000.0
POL,2002,5.666666666666667,244000.0
PRT,2010,34.0,362370000.0
PRT,2018,17.0,134611000.0
PRT,1997,11.333333333333334,45580000.0
SVK,2004,34.0,593883000.0
SVN,2007,34.0,553291000.0
SWE,2005,34.0,4195947000.0
SWE,1999,17.0,281103000.0
SWE,1990,11.333333333333334,22398000.0
UKR,2000,34.0,203941000.0
UKR,2021,17.0,183605000.0
UKR,2007,11.333333333333334,141146000.0
UKR,1997,8.5,61989000.0
UKR,1992,6.8,3337000.0
