country,vuln_nd_gain_2022
AFG,0.586021466843507
ALB,0.386331626490989
DZA,0.364309961269751
AND,
AGO,0.508868896218506
ATG,0.468061498933154
ARG,0.37170427567628
ARM,0.36233841791301
AUS,0.306045722913459
AUT,0.29925314862663
AZE,0.409341021701338
BHS,0.45655858164319
BHR,0.434530092242407
BGD,0.554273336982695
BRB,0.37214270086482
BLR,0.325224751520954
BEL,0.329288346737179
BLZ,0.461605095009125
BEN,0.571565444005584
BTN,0.526791310319176
BOL,0.447025346932714
BIH,0.348856567746108
BWA,0.43394114211453
BRA,0.363484776560173
BRN,0.404359133011454
BGR,0.357972306313935
BFA,0.523740607914716
BDI,0.554177466702657
KHM,0.482695538294298
CMR,0.489079156523315
CAN,0.281107566064065
CPV,0.428217671962841
CAF,0.577965536781531
TCD,0.645534801071457
CHL,0.334441537335005
CHN,0.353354962935544
COL,0.402855390799463
COM,0.545716468058945
COG,0.517671818322959
COD,0.561572812801563
CRI,0.380132590809637
CIV,0.484994886341579
HRV,0.380002051659578
CUB,0.43759217880119
CYP,0.358640336030512
CZE,0.263258597911043
DNK,0.347889769863943
DJI,0.501479579223468
DMA,0.459867977763965
DOM,0.432371849585567
ECU,0.46491356685519
EGY,0.396271315775455
SLV,0.417081519534019
GNQ,0.410853375185168
ERI,0.601726814365628
EST,0.330351948746667
ETH,0.52195393670137
FJI,0.457164846157994
FIN,0.295047136533238
FRA,0.299645098321069
GAB,0.439292720561007
GMB,0.527134042992535
GEO,0.3986373874698
DEU,0.299039964492309
GHA,0.444353765877357
GRC,0.339088120873175
GRD,0.386923044425617
GTM,0.435490467847333
GIN,0.533749278329135
GNB,0.616601177291994
GUY,0.436931416124494
HTI,0.510109576699087
HND,0.447338828115228
HUN,0.351867906086787
ISL,0.348019655982525
IND,0.453668324280259
IDN,0.425789388562653
IRN,0.365093201113896
IRQ,0.433033798170796
IRL,0.314473677661033
ISR,0.291532280707798
ITA,0.340766047601228
JAM,0.422050675958528
JPN,0.359766530604699
JOR,0.365788635296252
KAZ,0.315643261780567
KEN,0.493816065001224
KIR,0.571661508663835
PRK,0.458862628462427
KOR,0.352754310864441
KWT,0.364052707378894
KGZ,0.322528471573174
LAO,0.488829867893761
LVA,0.364250616119762
LBN,0.401930778944703
LSO,0.481471821864484
LBR,0.543338505438127
LBY,0.422801312992873
LIE,
LTU,0.360711399016385
LUX,0.306604214328341
MKD,0.378806798674504
MDG,0.559078511836411
MWI,0.550691728966183
MYS,0.363886153681482
MDV,0.563610031872178
MLI,0.59942050230141
MLT,0.317754470705323
MHL,0.586831714072055
MRT,0.586784160131229
MUS,0.409591790100039
MEX,0.368362152907256
FSM,0.620661463952007
MDA,0.393494037560555
MCO,
MNG,0.340887330447093
MNE,0.381056236992491
MAR,0.366395225051244
MOZ,0.478916146226519
MMR,0.510450289782687
NAM,0.459586635534332
NRU,0.508014778619002
NPL,0.493777221765448
NLD,0.355319982991811
NZL,0.320960284127014
NIC,0.460754701463727
NER,0.632226448539698
NGA,0.462348399768584
NOR,0.270063887035688
OMN,0.422355290091797
PAK,0.501392210131895
PLW,0.513724147467496
PAN,0.422190997914738
PNG,0.550689795404119
PRY,0.390813793591446
PER,0.406445144404074
PHL,0.443923752550941
POL,0.302382475919339
PRT,0.31901888290322
QAT,0.352308510490266
ROU,0.415264602572666
RUS,0.322792630647673
RWA,0.56782212902013
KNA,
LCA,0.379046849262174
VCT,0.438542332814364
WSM,0.520711681350364
SMR,
STP,0.542074668892673
SAU,0.410742474426166
SEN,0.534035540594805
SRB,0.421292113665036
SYC,0.437459908891866
SLE,0.597912325943661
SGP,0.390010736048322
SVK,0.347247584404272
SVN,0.315115811442916
SLB,0.634118295618026
SOM,0.60616625856397
ZAF,0.383277349981841
ESP,0.292238655537963
LKA,0.466183850232534
SDN,0.601056925148253
SUR,0.423600439354481
SWZ,0.457761011844322
SWE,0.324034306751595
CHE,0.251331331525662
SYR,0.455264603317386
TJK,0.366562369222124
TZA,0.500745309020078
THA,0.411213270751341
TLS,0.548975582114477
TGO,0.498699493061497
TON,0.604733093001423
TTO,0.374685148356895
TUN,0.376225755672649
TUR,0.357543285463301
TKM,0.374546044572352
TUV,0.58048771686446
UGA,0.524805635633292
UKR,0.358717256323076
ARE,0.382319688761828
GBR,0.284575613923552
USA,0.298075893948732
URY,0.391278410811518
UZB,0.349092685495239
VUT,0.559517674611273
VEN,0.373602856749237
VNM,0.457708349101897
YEM,0.521058034871095
ZMB,0.487665947997115
ZWE,0.495532723721429
